id,pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,weighing_approach,item_nsu_hetero_type,unit,weight,raw_canonical,published,corrected_unit,magnitude_corrected,decades_moved,snap_rule,snap_referee,snap_block,disputed,step1_flagged,unusable,any_uncertainty,cleaning_notes
68,AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,"Size-based (small, medium, large)",small_size,2,250.0,250.0,250.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
65,AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,"Size-based (small, medium, large)",small_size,2,230.0,230.0,230.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
67,AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,"Size-based (small, medium, large)",small_size,2,360.0,360.0,360.0,g,False,0.0,log10 median,prov_hetero,0,False,False,False,False,
66,AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,"Size-based (small, medium, large)",large_size,1,1.0,1000.0,100.0,g,True,-1.0,log10 median,prov,0,False,True,False,True,
73,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",small_size,2,320.0,320.0,320.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
78,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",small_size,2,0.275,0.275,275.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
79,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",medium_size,2,0.795,0.795,795.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
69,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",medium_size,2,645.0,645.0,645.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
74,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",medium_size,2,665.0,665.0,665.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
75,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",large_size,1,1.465,1465.0,1465.0,g,False,0.0,log10 median,cell,0,False,True,False,True,
70,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",large_size,1,1.175,1175.0,1175.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
71,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",small_size,2,0.5,0.5,500.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
76,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",small_size,2,0.36,0.36,360.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
84,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",small_size,2,0.475,0.475,475.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
77,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",medium_size,2,0.76,0.76,760.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
72,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",medium_size,2,0.71,0.71,710.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
82,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",small_size,2,0.33,0.33,330.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
83,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",medium_size,2,0.855,0.855,855.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
80,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",medium_size,2,725.0,725.0,725.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
85,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",medium_size,2,95.0,95.0,950.0,g,True,1.0,log10 median,cell,0,False,False,False,False,
