pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,pull_price,item_nsu_hetero_type,corrected_weight,p_real,gpp,n_pairs,n_price,n_mun,gpp_loo,w_pred,ratio
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MADALAG,putos,107.5,municipality_median,300,108.407469662753,2.767336982712317,40,10,7,2.95,319.8020355051214,1.066006785017071
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MADALAG,putos,107.5,municipality_median,360,108.407469662753,3.320804379254781,40,10,7,2.95,319.8020355051214,.8883389875142261
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MADALAG,putos,107.5,municipality_median,360,108.407469662753,3.320804379254781,40,10,7,2.95,319.8020355051214,.8883389875142261
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MADALAG,putos,107.5,municipality_median,280,108.407469662753,2.582847850531496,40,10,7,2.95,319.8020355051214,1.142150126804005
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MADALAG,putos,107.5,municipality_median,275,108.407469662753,2.536725567486291,40,10,7,2.95,319.8020355051214,1.162916492745896
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MADALAG,putos,107.5,municipality_median,360,108.407469662753,3.320804379254781,40,10,7,2.95,319.8020355051214,.8883389875142261
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,pieces or units,9,municipality_median,25,9,2.777777777777778,35,3,5,3.75,33.75,1.35
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,pieces or units,9,municipality_median,32,9,3.555555555555555,35,3,5,3.75,33.75,1.0546875
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,pieces or units,9,municipality_median,32,9,3.555555555555555,35,3,5,3.75,33.75,1.0546875
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,pieces or units,9,municipality_median,30,9,3.333333333333333,35,3,5,3.75,33.75,1.125
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,pieces or units,9,municipality_median,25,9,2.777777777777778,35,3,5,3.75,33.75,1.35
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,pieces or units,9,municipality_median,30,9,3.333333333333333,35,3,5,3.75,33.75,1.125
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,pieces or units,9,municipality_median,27,9,3,35,3,5,3.75,33.75,1.25
