pull_province,pull_item,pull_municipal_city,harmonized_nsu_unit,point_id,p_g,n_merged,has_mp25,has_mp50,has_mp75,has_mun_med,has_prov_med,has_unique,d_uniq_weighed,branch,d_point_unconvertible,n_points,n_points_conv
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",LIBACAO,small cup,1,60,1,0,0,0,0,1,0,0,3,0,2,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",LIBACAO,small cup,2,100,1,0,0,0,0,0,1,0,3,1,2,1
AKLAN,"liquor (e.g, whisky, coconut wine)",LIBACAO,lipid/lapad,1,75,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,"liquor (e.g, whisky, coconut wine)",LIBACAO,long-neck,1,138.75,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,"liquor (e.g, whisky, coconut wine)",LIBACAO,long-neck,2,447.5,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,mango,LIBACAO,pieces or units,1,60,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",LIBACAO,pieces or units,1,40,1,0,0,0,1,0,0,0,2,0,1,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",LIBACAO,putos,1,116.25,2,1,1,0,0,0,0,0,2,0,2,2
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",LIBACAO,putos,2,155,1,0,0,1,0,0,0,0,2,0,2,2
AKLAN,cabbage,MADALAG,pieces or units,1,60,1,0,0,0,0,1,0,0,3,0,2,1
AKLAN,cabbage,MADALAG,pieces or units,2,150,1,0,0,0,0,0,1,0,3,1,2,1
AKLAN,camote,MADALAG,binilog,1,15,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,camote tops,MADALAG,bugkos,1,20,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,carrot,MADALAG,pieces or units,1,30,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,chicken,MADALAG,pieces or units,1,437.5,1,1,0,0,0,0,0,0,3,0,3,3
AKLAN,chicken,MADALAG,pieces or units,2,550,1,0,1,0,0,0,0,0,3,0,3,3
AKLAN,chicken,MADALAG,pieces or units,3,650,1,0,0,1,0,0,0,0,3,0,3,3
AKLAN,chicken,MADALAG,whole (chicken),1,226.25,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,chicken,MADALAG,whole (chicken),2,272.5,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,"crackers, cookies, buiscuits, chips/curls",MADALAG,pieces or units,1,56,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,"crackers, cookies, buiscuits, chips/curls",MADALAG,putos,1,62,2,1,1,0,0,0,0,0,2,0,2,2
AKLAN,"crackers, cookies, buiscuits, chips/curls",MADALAG,putos,2,110,1,0,0,1,0,0,0,0,2,0,2,2
AKLAN,fresh fish,MADALAG,pieces or units,1,115,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",MADALAG,pieces or units,1,30,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",MADALAG,putos,1,30,1,0,0,0,0,1,0,0,2,0,1,1
AKLAN,"liquor (e.g, whisky, coconut wine)",MADALAG,lipid/lapad,1,77.5,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,"liquor (e.g, whisky, coconut wine)",MADALAG,lipid/lapad,2,140,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,"liquor (e.g, whisky, coconut wine)",MADALAG,long-neck,1,147.5,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,loaf bread,MADALAG,large packs,1,65.625,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,loaf bread,MADALAG,large packs,2,108.75,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,loaf bread,MADALAG,medium packs,1,56.25,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,loaf bread,MADALAG,medium packs,2,115,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,loaf bread,MADALAG,small packs,1,50,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,mango,MADALAG,pieces or units,1,25,2,0,0,0,0,0,1,0,3,1,2,1
AKLAN,mango,MADALAG,pieces or units,2,60,1,0,0,0,0,1,0,0,3,0,2,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",MADALAG,pieces or units,1,47.875,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",MADALAG,pieces or units,2,96.25,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",MADALAG,putos,1,106.25,2,1,1,0,0,0,0,0,2,0,2,2
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",MADALAG,putos,2,195,1,0,0,1,0,0,0,0,2,0,2,2
