hhid,pull_item,q_h,pull_nsu_unit,e_h,pull_province,pull_municipal_city,p_h,p_g,n_points,cf_h,grams_h,r_h_raw,r_h,d_cap,cf_h_uncapped
H000142,loaf bread,1,medium,65,ILOILO,MINA,65,65.625,2,445.7142857142857,445.7142857142857,.9904761904761905,.9904761904761905,0,445.7142857142857
H000143,loaf bread,4,maisot nga putos,20,AKLAN,BANGA,5,25,3,72,288,.2,.2,0,72
H000148,"liquor (e.g, whisky, coconut wine)",1,lipid / lapad,63,CAPIZ,DUMARAO,63,77.5,2,304.8387096774193,304.8387096774193,.8129032258064516,.8129032258064516,0,304.8387096774193
H000149,"liquor (e.g, whisky, coconut wine)",3,lipid / lapad,135,ANTIQUE,CULASI,45,76.25,3,221.311475409836,663.9344262295082,.5901639344262295,.5901639344262295,0,221.311475409836
H000149,camote tops,3,bugkos,30,ANTIQUE,CULASI,10,20,1,105,315,.5,.5,0,105
H000150,"preserved or processed meat (tocino, tapa, longaniza, etc)",2,putos,130,ANTIQUE,TOBIAS FORNIER,65,80,3,511.875,1023.75,.8125,.8125,0,511.875
H000150,cabbage,.5,binilog,55,ANTIQUE,TOBIAS FORNIER,110,50,1,1232,616,2.2,2.2,0,1232
H000150,carrot,2,binilog,50,ANTIQUE,TOBIAS FORNIER,25,40,1,71.875,143.75,.625,.625,0,71.875
H000151,"liquor (e.g, whisky, coconut wine)",1,lipid / lapad,65,CAPIZ,PONTEVEDRA,65,80,3,304.6875,304.6875,.8125,.8125,0,304.6875
H000151,camote tops,4,bugkos,40,CAPIZ,PONTEVEDRA,10,20,1,75,300,.5,.5,0,75
H000152,"liquor (e.g, whisky, coconut wine)",2,lipid / lapad,140,CAPIZ,PILAR,70,75,3,350,700,.9333333333333333,.9333333333333333,0,350
H000152,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,bilog,15,CAPIZ,PILAR,15,30,1,32.5,32.5,.5,.5,0,32.5
H000153,"liquor (e.g, whisky, coconut wine)",1,lipid / lapad,80,CAPIZ,DUMARAO,80,77.5,2,387.0967741935484,387.0967741935484,1.032258064516129,1.032258064516129,0,387.0967741935484
H000154,cabbage,1,bilog,110,CAPIZ,SIGMA,110,60,1,1200.833333333333,1200.833333333333,1.833333333333333,1.833333333333333,0,1200.833333333333
H000154,carrot,3,bilog,75,CAPIZ,SIGMA,25,20,1,139.7157089850036,419.1471269550109,1.25,1.25,0,139.7157089850036
H000155,"liquor (e.g, whisky, coconut wine)",1,lipid / lapad,70,ILOILO,SAN DIONISIO,70,75,3,350,350,.9333333333333333,.9333333333333333,0,350
H000155,"crackers, cookies, buiscuits, chips/curls",12,bilog,96,ILOILO,SAN DIONISIO,8,40,1,4.4,52.8,.2,.2,0,4.4
H000157,"liquor (e.g, whisky, coconut wine)",1,lipid / lapad,75,ILOILO,SAN DIONISIO,75,75,3,375,375,1,1,0,375
H000157,"preserved or processed meat (tocino, tapa, longaniza, etc)",2,putos,90,ILOILO,SAN DIONISIO,45,50,3,225,450,.9,.9,0,225
