pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,size_ord,w_l0,n_l0,weighing_approach,w_l1,n_l1,w_l2,n_l2,w_l3,n_l3,grams_used,n_g_used,fallback_level,unconvertible
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BATAN,cans,g,medium,155,5,3,152.5,18,152.5,18,155,95,155,5,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BATAN,cans,g,large,255,4,3,152.5,18,152.5,18,155,95,255,4,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BATAN,pieces or units,g,small,45,1,3,45,1,65,28,65,33,65,28,province x item x unit,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BATAN,putos,g,small,240,2,3,305,4,300,81,250,473,305,4,cell pooled across sizes,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BATAN,putos,g,medium,360,2,3,305,4,300,81,250,473,305,4,cell pooled across sizes,0
cabbage,AKLAN,BURUANGA,pieces or units,g,small,375,5,3,625,13,722.5,226,655,1306,375,5,own cell x size,0
cabbage,AKLAN,BURUANGA,pieces or units,g,medium,707.5,4,3,625,13,722.5,226,655,1306,707.5,4,own cell x size,0
cabbage,AKLAN,BURUANGA,pieces or units,g,large,1025,4,3,625,13,722.5,226,655,1306,1025,4,own cell x size,0
cabbage,AKLAN,BURUANGA,small packs,g,small,235,3,3,235,3,235,3,190,5,235,3,own cell x size,0
camote,AKLAN,BURUANGA,binilog,g,small,85,5,3,100,8,150,39,130,56,85,5,own cell x size,0
camote,AKLAN,BURUANGA,binilog,g,medium,130,3,3,100,8,150,39,130,56,130,3,own cell x size,0
camote tops,AKLAN,BURUANGA,bundle,g,conventional_nsu,897.5,2,1,897.5,2,790,35,500,101,790,35,province x item x unit,0
carrot,AKLAN,BURUANGA,pieces or units,g,small,85,5,3,130,13,145,195,140,1169,85,5,own cell x size,0
carrot,AKLAN,BURUANGA,pieces or units,g,medium,137.5,4,3,130,13,145,195,140,1169,137.5,4,own cell x size,0
carrot,AKLAN,BURUANGA,pieces or units,g,large,237.5,4,3,130,13,145,195,140,1169,237.5,4,own cell x size,0
chicken,AKLAN,BURUANGA,pieces or units,g,medium,600,3,3,600,3,385,45,380,108,600,3,own cell x size,0
chicken,AKLAN,BURUANGA,whole (chicken),g,medium,1045,4,3,1160,7,1265,83,1120,468,1045,4,own cell x size,0
chicken,AKLAN,BURUANGA,whole (chicken),g,large,1325,3,3,1160,7,1265,83,1120,468,1325,3,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,pack,g,medium,98,1,2,98,1,98,1,300,63,300,63,item x unit (national),0
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,putos,g,small,290,8,2,265,24,280,93,210,482,290,8,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,putos,g,medium,90,8,2,265,24,280,93,210,482,90,8,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,BURUANGA,putos,g,large,300,8,2,265,24,280,93,210,482,300,8,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BURUANGA,pack,g,small,60,3,3,60,3,60,3,65,4,60,3,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,BURUANGA,small cup,g,small,117.5,2,3,117.5,2,115,10,100,120,115,10,province x item x unit,0
"liquor (e.g, whisky, coconut wine)",AKLAN,BURUANGA,lipid/lapad,mL,medium,375,9,3,375,9,375,76,375,618,375,9,own cell x size,0
"liquor (e.g, whisky, coconut wine)",AKLAN,BURUANGA,long-neck,mL,large,750,9,3,750,9,750,104,750,478,750,9,own cell x size,0
loaf bread,AKLAN,BURUANGA,large packs,g,large,600,3,3,600,3,640,43,640,411,600,3,own cell x size,0
loaf bread,AKLAN,BURUANGA,medium packs,g,medium,450,5,3,450,5,450,51,450,352,450,5,own cell x size,0
loaf bread,AKLAN,BURUANGA,small packs,g,small,350,4,3,350,4,360,33,370,259,350,4,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BURUANGA,pieces or units,g,small,250,3,3,250,3,65,28,65,33,250,3,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BURUANGA,putos,g,small,220,5,3,225,8,300,81,250,473,220,5,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,BURUANGA,putos,g,medium,370,3,3,225,8,300,81,250,473,370,3,own cell x size,0
cabbage,AKLAN,IBAJAY,pieces or units,g,small,390,5,3,627.5,14,722.5,226,655,1306,390,5,own cell x size,0
cabbage,AKLAN,IBAJAY,pieces or units,g,medium,645,5,3,627.5,14,722.5,226,655,1306,645,5,own cell x size,0
cabbage,AKLAN,IBAJAY,pieces or units,g,large,825,4,3,627.5,14,722.5,226,655,1306,825,4,own cell x size,0
camote,AKLAN,IBAJAY,binilog,g,small,80,3,3,150,9,150,39,130,56,150,9,cell pooled across sizes,0
camote,AKLAN,IBAJAY,binilog,g,medium,172.5,4,3,150,9,150,39,130,56,150,9,cell pooled across sizes,0
camote,AKLAN,IBAJAY,binilog,g,large,300,2,3,150,9,150,39,130,56,150,9,cell pooled across sizes,0
camote tops,AKLAN,IBAJAY,bugkos,g,conventional_nsu,162.5,4,1,162.5,4,150,37,195,449,162.5,4,own cell x size,0
carrot,AKLAN,IBAJAY,pieces or units,g,small,75,5,3,145,15,145,195,140,1169,75,5,own cell x size,0
carrot,AKLAN,IBAJAY,pieces or units,g,medium,145,6,3,145,15,145,195,140,1169,145,6,own cell x size,0
carrot,AKLAN,IBAJAY,pieces or units,g,large,227.5,4,3,145,15,145,195,140,1169,227.5,4,own cell x size,0
chicken,AKLAN,IBAJAY,pieces or units,g,small,90,3,3,335,7,385,45,380,108,335,7,cell pooled across sizes,0
chicken,AKLAN,IBAJAY,pieces or units,g,medium,442.5,2,3,335,7,385,45,380,108,335,7,cell pooled across sizes,0
chicken,AKLAN,IBAJAY,pieces or units,g,large,665,2,3,335,7,385,45,380,108,335,7,cell pooled across sizes,0
chicken,AKLAN,IBAJAY,whole (chicken),g,medium,1380,4,3,1445,7,1265,83,1120,468,1380,4,own cell x size,0
chicken,AKLAN,IBAJAY,whole (chicken),g,large,1530,3,3,1445,7,1265,83,1120,468,1530,3,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,IBAJAY,pieces or units,g,small,25,5,3,40,14,30,96,32,505,25,5,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,IBAJAY,pieces or units,g,medium,40,5,3,40,14,30,96,32,505,40,5,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,IBAJAY,pieces or units,g,large,81.5,4,3,40,14,30,96,32,505,81.5,4,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,IBAJAY,putos,g,medium,300,2,2,300,2,280,93,210,482,280,93,province x item x unit,0
fresh fish,AKLAN,IBAJAY,pieces or units,g,small,103,5,3,235,14,387.5,62,390,685,103,5,own cell x size,0
fresh fish,AKLAN,IBAJAY,pieces or units,g,medium,240,5,3,235,14,387.5,62,390,685,240,5,own cell x size,0
fresh fish,AKLAN,IBAJAY,pieces or units,g,large,475,4,3,235,14,387.5,62,390,685,475,4,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,IBAJAY,pieces or units,mL,small,110,2,3,110,2,110,25,100,166,110,25,province x item x unit,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,IBAJAY,putos,mL,small,600,3,3,600,3,600,20,65,148,600,3,own cell x size,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,IBAJAY,small cup,mL,small,100,3,3,100,3,100,12,100,185,100,3,own cell x size,0
"liquor (e.g, whisky, coconut wine)",AKLAN,IBAJAY,lipid/lapad,mL,medium,375,6,3,375,6,375,76,375,618,375,6,own cell x size,0
"liquor (e.g, whisky, coconut wine)",AKLAN,IBAJAY,long-neck,mL,small,750,6,3,750,7,750,104,750,478,750,7,cell pooled across sizes,0
"liquor (e.g, whisky, coconut wine)",AKLAN,IBAJAY,long-neck,mL,large,1000,1,3,750,7,750,104,750,478,750,7,cell pooled across sizes,0
loaf bread,AKLAN,IBAJAY,large packs,g,large,620,3,3,620,3,640,43,640,411,620,3,own cell x size,0
loaf bread,AKLAN,IBAJAY,medium packs,g,medium,525,2,3,525,2,450,51,450,352,450,51,province x item x unit,0
loaf bread,AKLAN,IBAJAY,small packs,g,small,372.5,2,3,372.5,2,360,33,370,259,360,33,province x item x unit,0
mango,AKLAN,IBAJAY,pieces or units,g,small,155,5,3,225,15,230,77,230,539,155,5,own cell x size,0
mango,AKLAN,IBAJAY,pieces or units,g,medium,227.5,6,3,225,15,230,77,230,539,227.5,6,own cell x size,0
mango,AKLAN,IBAJAY,pieces or units,g,large,312.5,4,3,225,15,230,77,230,539,312.5,4,own cell x size,0
"prawns, lobster, shrimp",AKLAN,IBAJAY,tumpok,g,conventional_nsu,455,3,1,455,3,290,23,260,147,455,3,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,IBAJAY,pieces or units,g,small,57.5,2,3,57.5,2,65,28,65,33,65,28,province x item x unit,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,IBAJAY,putos,g,small,240,4,3,500,11,300,81,250,473,240,4,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,IBAJAY,putos,g,medium,500,4,3,500,11,300,81,250,473,500,4,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,IBAJAY,putos,g,large,1000,3,3,500,11,300,81,250,473,1000,3,own cell x size,0
cabbage,AKLAN,LIBACAO,pieces or units,g,small,385,8,3,725,22,722.5,226,655,1306,385,8,own cell x size,0
cabbage,AKLAN,LIBACAO,pieces or units,g,medium,755,7,3,725,22,722.5,226,655,1306,755,7,own cell x size,0
cabbage,AKLAN,LIBACAO,pieces or units,g,large,1080,7,3,725,22,722.5,226,655,1306,1080,7,own cell x size,0
camote tops,AKLAN,LIBACAO,bugkos,g,conventional_nsu,170,3,1,170,3,150,37,195,449,170,3,own cell x size,0
camote tops,AKLAN,LIBACAO,bundle,g,conventional_nsu,665,3,1,665,3,790,35,500,101,665,3,own cell x size,0
carrot,AKLAN,LIBACAO,pieces or units,g,small,72.5,4,3,105,11,145,195,140,1169,72.5,4,own cell x size,0
carrot,AKLAN,LIBACAO,pieces or units,g,medium,112.5,4,3,105,11,145,195,140,1169,112.5,4,own cell x size,0
carrot,AKLAN,LIBACAO,pieces or units,g,large,165,3,3,105,11,145,195,140,1169,165,3,own cell x size,0
chicken,AKLAN,LIBACAO,pieces or units,g,small,445,2,3,530,3,385,45,380,108,530,3,cell pooled across sizes,0
chicken,AKLAN,LIBACAO,pieces or units,g,medium,720,1,3,530,3,385,45,380,108,530,3,cell pooled across sizes,0
chicken,AKLAN,LIBACAO,whole (chicken),g,large,1375,6,3,1375,6,1265,83,1120,468,1375,6,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,LIBACAO,pieces or units,g,medium,30,9,2,30,9,30,96,32,505,30,9,own cell x size,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,LIBACAO,putos,g,small,300,9,3,300,9,280,93,210,482,300,9,own cell x size,0
fresh fish,AKLAN,LIBACAO,pieces or units,g,small,350,2,3,562.5,6,387.5,62,390,685,562.5,6,cell pooled across sizes,0
fresh fish,AKLAN,LIBACAO,pieces or units,g,medium,660,3,3,562.5,6,387.5,62,390,685,562.5,6,cell pooled across sizes,0
fresh fish,AKLAN,LIBACAO,pieces or units,g,large,1670,1,3,562.5,6,387.5,62,390,685,562.5,6,cell pooled across sizes,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,LIBACAO,putos,g,small,46.5,2,3,51.5,4,55,7,58,82,51.5,4,cell pooled across sizes,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,LIBACAO,putos,g,medium,72.5,2,3,51.5,4,55,7,58,82,51.5,4,cell pooled across sizes,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,LIBACAO,small cup,g,small,100,1,3,350,3,115,10,100,120,350,3,cell pooled across sizes,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,LIBACAO,small cup,g,medium,422.5,2,3,350,3,115,10,100,120,350,3,cell pooled across sizes,0
"liquor (e.g, whisky, coconut wine)",AKLAN,LIBACAO,lipid/lapad,mL,medium,375,5,3,375,5,375,76,375,618,375,5,own cell x size,0
"liquor (e.g, whisky, coconut wine)",AKLAN,LIBACAO,long-neck,mL,large,750,7,3,750,7,750,104,750,478,750,7,own cell x size,0
mango,AKLAN,LIBACAO,pieces or units,g,small,182.5,4,3,220,11,230,77,230,539,182.5,4,own cell x size,0
mango,AKLAN,LIBACAO,pieces or units,g,medium,225,4,3,220,11,230,77,230,539,225,4,own cell x size,0
mango,AKLAN,LIBACAO,pieces or units,g,large,285,3,3,220,11,230,77,230,539,285,3,own cell x size,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,LIBACAO,pieces or units,g,medium,125,2,2,125,2,65,28,65,33,65,28,province x item x unit,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,LIBACAO,putos,g,medium,307.5,6,2,307.5,6,300,81,250,473,307.5,6,own cell x size,0
cabbage,AKLAN,MADALAG,pieces or units,g,small,417.5,6,3,657.5,18,722.5,226,655,1306,417.5,6,own cell x size,0
cabbage,AKLAN,MADALAG,pieces or units,g,medium,700,7,3,657.5,18,722.5,226,655,1306,700,7,own cell x size,0
cabbage,AKLAN,MADALAG,pieces or units,g,large,960,5,3,657.5,18,722.5,226,655,1306,960,5,own cell x size,0
camote,AKLAN,MADALAG,binilog,g,small,65,1,3,160,3,150,39,130,56,160,3,cell pooled across sizes,0
camote,AKLAN,MADALAG,binilog,g,medium,170,2,3,160,3,150,39,130,56,160,3,cell pooled across sizes,0
camote tops,AKLAN,MADALAG,bugkos,g,conventional_nsu,150,4,1,150,4,150,37,195,449,150,4,own cell x size,0
carrot,AKLAN,MADALAG,pieces or units,g,small,107.5,4,3,162.5,12,145,195,140,1169,107.5,4,own cell x size,0
carrot,AKLAN,MADALAG,pieces or units,g,medium,180,5,3,162.5,12,145,195,140,1169,180,5,own cell x size,0
carrot,AKLAN,MADALAG,pieces or units,g,large,265,3,3,162.5,12,145,195,140,1169,265,3,own cell x size,0
chicken,AKLAN,MADALAG,pieces or units,g,medium,500,1,3,590,2,385,45,380,108,385,45,province x item x unit,0
chicken,AKLAN,MADALAG,pieces or units,g,large,680,1,3,590,2,385,45,380,108,385,45,province x item x unit,0
chicken,AKLAN,MADALAG,whole (chicken),g,medium,947.5,2,3,1250,4,1265,83,1120,468,1250,4,cell pooled across sizes,0
chicken,AKLAN,MADALAG,whole (chicken),g,large,1660,2,3,1250,4,1265,83,1120,468,1250,4,cell pooled across sizes,0
"crackers, cookies, buiscuits, chips/curls",AKLAN,MADALAG,pieces or units,g,small,30,4,3,31.5,8,30,96,32,505,30,4,own cell x size,0
