pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,o2_cf,o2_rows,o2_maxrung,o1_grams,o1_n,ratio,logr
cabbage,AKLAN,MAKATO,pieces or units,g,900,3,0,795,12,1.132075471698113,.0538753807828546
camote tops,AKLAN,MAKATO,bundle,g,775,54,0,775,6,1,0
carrot,AKLAN,MAKATO,pieces or units,g,56.4,7,0,132.5,16,.4256603773584905,-.3709367742894844
chicken,AKLAN,MAKATO,whole (chicken),g,1115,6,0,1307.5,6,.8527724665391969,-.0691668301551324
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,pieces or units,g,32.07520161976598,4,0,30,8,1.069173387325533,.0290481402439555
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,putos,g,320.7520161976599,9,0,300,9,1.069173387325533,.0290481402439555
fresh fish,AKLAN,MAKATO,pieces or units,g,527.5,1,0,550,12,.9590909090909091,-.0181402255245136
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,MAKATO,pieces or units,g,16.875,12,0,75,3,.225,-.6478174818886374
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,MAKATO,small cup,g,36.66666666666667,4,0,110,5,.3333333333333334,-.4771212547196623
"liquor (e.g, whisky, coconut wine)",AKLAN,MAKATO,lipid/lapad,mL,304.6875,5,0,375,9,.8125,-.090176630349088
"liquor (e.g, whisky, coconut wine)",AKLAN,MAKATO,long-neck,mL,735.5769230769231,4,0,750,9,.9807692307692308,-.0084331675368628
loaf bread,AKLAN,MAKATO,large packs,g,341.3333333333333,7,0,640,5,.5333333333333333,-.2730012720637376
loaf bread,AKLAN,MAKATO,medium packs,g,382.9787234042553,12,0,465,8,.8236101578586135,-.0842783057223654
loaf bread,AKLAN,MAKATO,small packs,g,327.0833333333334,7,0,392.5,4,.8333333333333335,-.0791812460476247
mango,AKLAN,MAKATO,pieces or units,g,190,1,0,195,12,.9743589743589743,-.0112810104096891
"prawns, lobster, shrimp",AKLAN,MAKATO,tumpok,g,129.375,2,0,382.5,6,.3382352941176471,-.4707810766886433
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MAKATO,pieces or units,g,63.52737939650478,9,0,65,5,.9773442984077659,-.0099524162629123
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MAKATO,putos,g,300.533371760388,9,0,307.5,8,.9773442984077659,-.0099524162629123
cabbage,AKLAN,MALAY,pieces or units,g,579.1304347826087,3,0,805,26,.7194166891709426,-.143019491551179
camote,AKLAN,MALAY,binilog,g,180,1,0,182.5,19,.9863013698630136,-.0059903636891875
camote tops,AKLAN,MALAY,bugkos,g,252.5,7,0,252.5,6,1,0
