province,pull_municipal_city,cons_name,harmonized_nsu_unit,n_raw_units,raw_units,points_pooled,points_naive
CAPIZ,PRESIDENT ROXAS,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,2,3
CAPIZ,SAPI-AN,fresh fish,pieces or units,1,bilog,2,1
CAPIZ,SAPI-AN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,bilog,2,1
CAPIZ,SIGMA,"drinks at restaurant, hotel, cafe, or kiosk",pieces,1,pieces,2,3
CAPIZ,SIGMA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,putos,2,3
CAPIZ,SIGMA,loaf bread,medium packs,1,medium,2,3
CAPIZ,SIGMA,"prawns, lobster, shrimp",tumpok,1,tumpok,2,3
ILOILO,AJUY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,putos,2,1
ILOILO,AJUY,rice,letse,1,letse,2,3
ILOILO,ALIMODIAN,camote,bilog,1,bilog,2,1
ILOILO,ALIMODIAN,chicken,pieces or units,1,binilog,2,3
ILOILO,ALIMODIAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,putos,2,1
ILOILO,ALIMODIAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,1,gamay nga cup,2,1
ILOILO,ANILAO,chicken,bilog,1,bilog,2,1
ILOILO,BADIANGAN,"drinks at restaurant, hotel, cafe, or kiosk",pieces,1,pieces,2,3
ILOILO,BADIANGAN,fresh fish,pieces or units,1,bilog,2,1
ILOILO,BALASAN,fresh fish,pieces or units,1,bilog,2,3
ILOILO,BALASAN,mango,pieces or units,1,bilog,2,1
ILOILO,BAROTAC NUEVO,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,2,1
ILOILO,BAROTAC NUEVO,"prawns, lobster, shrimp",tumpok,1,tumpok,2,1
ILOILO,BAROTAC NUEVO,rice,letse,1,letse,2,1
ILOILO,BAROTAC VIEJO,fresh fish,pieces or units,1,bilog,2,1
ILOILO,BAROTAC VIEJO,"prawns, lobster, shrimp",tumpok,1,tumpok,2,3
ILOILO,BATAD,fresh fish,pieces or units,1,bilog,2,3
ILOILO,BATAD,loaf bread,tama-tama nga putos,1,tama-tama nga putos,2,3
ILOILO,BINGAWAN,chicken,whole (chicken),1,whole (chicken),2,3
ILOILO,CABATUAN,mango,pieces or units,1,bilog,2,1
ILOILO,CALINOG,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,2,1
ILOILO,DUEAS,"drinks at restaurant, hotel, cafe, or kiosk",pieces,1,pieces,2,3
ILOILO,DUEAS,"prawns, lobster, shrimp",tumpok,1,tumpok,2,1
ILOILO,ESTANCIA,fresh fish,pieces or units,1,bilog,2,1
ILOILO,GUIMBAL,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,1,bilog,2,1
ILOILO,IGBARAS,chicken,bilog,1,bilog,2,3
ILOILO,JANIUAY,"drinks at restaurant, hotel, cafe, or kiosk",pieces,1,pieces,2,3
ILOILO,LEGANES,"prawns, lobster, shrimp",tumpok,1,tumpok,2,1
ILOILO,LEGANES,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,bilog,2,3
ILOILO,LEMERY,"prawns, lobster, shrimp",tumpok,1,tumpok,2,3
ILOILO,LEMERY,rice,letse,1,letse,2,1
ILOILO,MINA,loaf bread,tama-tama nga putos,1,tama-tama nga putos,2,1
ILOILO,OTON,"prawns, lobster, shrimp",tumpok,1,tumpok,2,3
ILOILO,POTOTAN,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,2,1
ILOILO,POTOTAN,mango,pieces or units,1,bilog,2,3
ILOILO,SAN DIONISIO,chicken,whole (chicken),1,whole (chicken),2,3
ILOILO,SAN ENRIQUE,"drinks at restaurant, hotel, cafe, or kiosk",pieces,1,pieces,2,3
ILOILO,SAN ENRIQUE,fresh fish,pieces or units,1,bilog,2,3
ILOILO,SAN JOAQUIN,loaf bread,tama-tama nga putos,1,tama-tama nga putos,2,1
ILOILO,SAN MIGUEL,chicken,bilog,1,bilog,2,1
ILOILO,SAN RAFAEL,fresh fish,pieces or units,1,bilog,2,3
ILOILO,SANTA BARBARA,fresh fish,pieces or units,1,bilog,2,3
ILOILO,SANTA BARBARA,loaf bread,small packs,1,small,2,1
ILOILO,SANTA BARBARA,rice,salmon,1,salmon,2,1
ILOILO,SARA,rice,salmon,1,salmon,2,1
ILOILO,TIGBAUAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,1,lipid / lapad,2,3
ILOILO,TIGBAUAN,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,2,1
ILOILO,TIGBAUAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pack,1,packs,2,3
ILOILO,TUBUNGAN,"drinks at restaurant, hotel, cafe, or kiosk",pieces,1,pieces,2,3
NEGROS OCCIDENTAL,CANDONI,"drinks at restaurant, hotel, cafe, or kiosk",pieces,1,pieces,2,3
NEGROS OCCIDENTAL,CAUAYAN,rice,salmon,1,salmon,2,1
NEGROS OCCIDENTAL,HINIGARAN,fresh fish,pieces or units,1,bilog,2,1
NEGROS OCCIDENTAL,HINIGARAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,putos,2,1
NEGROS OCCIDENTAL,HINIGARAN,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,2,1
NEGROS OCCIDENTAL,HINIGARAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,1,bilog,2,3
NEGROS OCCIDENTAL,HINOBA-AN (ASIA),chicken,whole (chicken),1,whole (chicken),2,1
NEGROS OCCIDENTAL,LA CASTELLANA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,1,putos,2,1
NEGROS OCCIDENTAL,MOISES PADILLA (MAGALLON),chicken,bilog,1,bilog,2,3
NEGROS OCCIDENTAL,PONTEVEDRA,chicken,bilog,1,bilog,2,3
NEGROS OCCIDENTAL,SALVADOR BENEDICTO,"liquor (e.g, whisky, coconut wine)",long-neck,1,long-neck,2,1
NEGROS OCCIDENTAL,SAN ENRIQUE,chicken,bilog,1,bilog,2,1
NEGROS OCCIDENTAL,VALLADOLID,chicken,bilog,1,bilog,2,1
ANTIQUE,SIBALOM,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,4,gamay nga cup | gamay nga tasa | small cup | small cup (translate),1,1
ILOILO,AJUY,cabbage,pack,4,pack | pack shredded cabbbage | packs | shredded cabbage(pack),1,1
AKLAN,BURUANGA,"crackers, cookies, buiscuits, chips/curls",pieces or units,3,bilog | binilog | pieces or units,1,1
AKLAN,IBAJAY,carrot,pieces or units,3,bilog | binilog | piraso,1,1
