province,pull_municipal_city,cons_name,harmonized_nsu_unit,branch,unique_price,prov_median,abs_gap,ratio,n_weighings,holds
NEGROS OCCIDENTAL,HINOBA-AN (ASIA),"liquor (e.g, whisky, coconut wine)",long-neck,price-quantity,160.0,182.5,22.5,0.8767123287671232,2,prov_median + unique x1
AKLAN,LIBACAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,size-based,8.0,30.0,22.0,0.26666666666666666,4,prov_median + unique x1
AKLAN,TANGALAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,size-based,33.0,53.5,20.5,0.616822429906542,6,prov_median + unique x1
ILOILO,ALIMODIAN,camote,bilog,size-based,10.0,30.0,20.0,0.3333333333333333,11,prov_median + unique x2
ILOILO,CABATUAN,mango,pieces or units,size-based,60.0,80.0,20.0,0.75,13,prov_median + unique x2
CAPIZ,MAMBUSAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,(no MS rows),30.0,50.0,20.0,0.6,0,prov_median + unique x2
ILOILO,BADIANGAN,fresh fish,pieces or units,(no MS rows),120.0,100.0,20.0,1.2,0,prov_median + unique x2
ILOILO,MIAGAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,size-based,30.0,50.0,20.0,0.6,4,full_triple + prov_median + unique x2
ILOILO,MIAGAO,fresh fish,pieces or units,size-based,80.0,100.0,20.0,0.8,10,prov_median + unique x1
ANTIQUE,LAUA-AN,mango,pieces or units,size-based,100.0,80.0,20.0,1.25,1,prov_median + unique x2
ANTIQUE,BARBAZA,loaf bread,large packs,size-based,100.0,80.0,20.0,1.25,5,prov_median + unique x2
ILOILO,ALIMODIAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,size-based,30.0,48.0,18.0,0.625,3,prov_median + unique x2
CAPIZ,IVISAN,"liquor (e.g, whisky, coconut wine)",long-neck,size-based,170.0,155.0,15.0,1.096774193548387,4,prov_median + unique x2
ILOILO,SARA,loaf bread,large packs,size-based,75.0,90.0,15.0,0.8333333333333334,4,full_triple + prov_median + unique x2
ILOILO,BAROTAC NUEVO,"prawns, lobster, shrimp",tumpok,size-based,75.0,60.0,15.0,1.25,1,prov_median + unique x2
ANTIQUE,SAN REMIGIO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,conventional,60.0,45.0,15.0,1.3333333333333333,1,prov_median + unique x2
ILOILO,MINA,loaf bread,tama-tama nga putos,(no MS rows),65.0,77.5,12.5,0.8387096774193549,0,prov_median + unique x2
NEGROS OCCIDENTAL,HINIGARAN,"liquor (e.g, whisky, coconut wine)",long-neck,price-quantity,170.0,182.5,12.5,0.9315068493150684,3,prov_median + unique x2
ANTIQUE,LAUA-AN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,(no MS rows),20.0,30.0,10.0,0.6666666666666666,0,mun_median + prov_median + unique x2
ILOILO,SAN RAFAEL,loaf bread,large packs,size-based,80.0,90.0,10.0,0.8888888888888888,3,full_triple + prov_median + unique x2
ANTIQUE,CULASI,loaf bread,medium packs,size-based,70.0,60.0,10.0,1.1666666666666667,3,prov_median + unique x2
ILOILO,ALIMODIAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,size-based,30.0,40.0,10.0,0.75,7,prov_median + unique x2
AKLAN,IBAJAY,"prawns, lobster, shrimp",tumpok,conventional,50.0,60.0,10.0,0.8333333333333334,3,prov_median + unique x2
CAPIZ,JAMINDAN,fresh fish,pieces or units,size-based,120.0,110.0,10.0,1.0909090909090908,5,prov_median + unique x2
CAPIZ,DUMALAG,fresh fish,pieces or units,size-based,120.0,110.0,10.0,1.0909090909090908,4,prov_median + unique x2
ILOILO,GUIMBAL,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,size-based,50.0,42.0,8.0,1.1904761904761905,3,prov_median + unique x2
ILOILO,MIAGAO,loaf bread,small packs,size-based,56.0,49.0,7.0,1.1428571428571428,12,mun_median + prov_median + unique x2
NEGROS OCCIDENTAL,LA CASTELLANA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,size-based,45.0,38.0,7.0,1.1842105263157894,2,prov_median + unique x2
ANTIQUE,LIBERTAD,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,price-quantity,36.0,32.5,3.5,1.1076923076923078,5,prov_median + unique x2
ILOILO,SARA,rice,salmon,(no MS rows),392.0,390.0,2.0,1.005128205128205,0,prov_median + unique x2
