province,pull_municipal_city,cons_name,harmonized_nsu_unit,p_weighed,p_unweighed,ratio,flag_unconvertible,n_ms_weighings,n_price_spellings,n_unweighed
ANTIQUE,SEBASTE,loaf bread,medium packs,70.0,60.0,0.8571428571428571,False,4,2,1
ANTIQUE,PATNONGON,chicken,whole (chicken),235.0,200.0,0.851063829787234,False,4,2,1
ILOILO,LEMERY,fresh fish,pack,197.5,165.0,0.8354430379746836,False,2,4,2
AKLAN,ALTAVAS,cabbage,pieces or units,60.0,50.0,0.8333333333333334,False,5,2,1
AKLAN,BATAN,loaf bread,small packs,60.0,50.0,0.8333333333333334,False,2,2,1
ILOILO,JANIUAY,cabbage,pieces or units,60.0,50.0,0.8333333333333334,False,21,2,1
ANTIQUE,LAUA-AN,chicken,whole (chicken),300.0,250.0,0.8333333333333334,False,5,2,1
ANTIQUE,PATNONGON,loaf bread,small packs,60.0,50.0,0.8333333333333334,False,3,2,1
ILOILO,IGBARAS,loaf bread,small packs,60.0,50.0,0.8333333333333334,False,4,2,1
ILOILO,BAROTAC VIEJO,loaf bread,large packs,85.0,70.5,0.8294117647058824,False,3,2,1
ILOILO,MIAGAO,carrot,pieces or units,40.0,33.0,0.825,False,14,2,1
ANTIQUE,SEBASTE,chicken,whole (chicken),280.0,230.0,0.8214285714285714,False,1,2,1
ILOILO,LEON,loaf bread,small packs,60.0,49.0,0.8166666666666667,False,5,2,1
ANTIQUE,SAN REMIGIO,carrot,pieces or units,40.0,32.5,0.8125,False,9,2,1
ILOILO,LEON,cabbage,pieces or units,62.5,50.0,0.8,False,27,2,1
ANTIQUE,SEBASTE,cabbage,pieces or units,50.0,40.0,0.8,False,17,2,1
CAPIZ,JAMINDAN,loaf bread,small packs,50.0,40.0,0.8,False,1,2,1
ILOILO,BINGAWAN,loaf bread,small packs,50.0,40.0,0.8,False,3,2,1
CAPIZ,MAMBUSAO,loaf bread,small packs,62.5,50.0,0.8,False,1,2,1
CAPIZ,DAO,cabbage,putos (mix vegetable),25.0,20.0,0.8,False,2,2,1
AKLAN,IBAJAY,cabbage,pieces or units,50.0,40.0,0.8,False,14,2,1
ILOILO,LEON,chicken,whole (chicken),255.0,200.0,0.7843137254901961,False,4,2,1
ILOILO,LEMERY,"crackers, cookies, buiscuits, chips/curls",pieces or units,48.0,37.5,0.78125,False,3,2,1
ILOILO,SAN JOAQUIN,loaf bread,large packs,160.0,123.75,0.7734375,False,6,3,2
ILOILO,SAN JOAQUIN,loaf bread,small packs,74.5,57.5,0.7718120805369127,False,1,2,1
ILOILO,BAROTAC NUEVO,loaf bread,large packs,117.5,90.0,0.7659574468085106,False,1,2,1
ILOILO,TUBUNGAN,loaf bread,medium packs,85.0,65.0,0.7647058823529411,False,7,2,1
AKLAN,BATAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,130.0,97.5,0.75,False,3,2,1
ILOILO,BAROTAC VIEJO,cabbage,pieces or units,50.0,37.5,0.75,False,9,2,1
ILOILO,CONCEPCION,cabbage,pieces or units,50.0,37.5,0.75,False,13,2,1
ANTIQUE,LIBERTAD,carrot,pieces or units,43.5,32.5,0.7471264367816092,False,12,2,1
ILOILO,LEGANES,loaf bread,large packs,104.0,77.0,0.7403846153846154,False,7,2,1
ANTIQUE,TOBIAS FORNIER,chicken,whole (chicken),250.0,185.0,0.74,False,10,3,2
ILOILO,DINGLE,cabbage,pack,27.5,20.0,0.7272727272727273,False,3,2,1
ANTIQUE,SEBASTE,carrot,pieces or units,35.0,25.0,0.7142857142857143,False,15,2,1
ILOILO,LEON,carrot,pieces or units,50.0,35.5,0.71,False,27,2,1
ANTIQUE,SIBALOM,loaf bread,medium packs,85.0,60.0,0.7058823529411765,False,7,2,1
ILOILO,LAMBUNAO,loaf bread,small packs,50.0,35.0,0.7,False,4,2,1
ILOILO,GUIMBAL,cabbage,pieces or units,50.0,35.0,0.7,False,27,2,1
ILOILO,LAMBUNAO,loaf bread,large packs,130.0,88.75,0.6826923076923077,False,4,3,2
ILOILO,BALASAN,loaf bread,small packs,70.0,47.5,0.6785714285714286,False,2,2,1
ILOILO,TUBUNGAN,carrot,pieces or units,45.0,30.0,0.6666666666666666,False,4,2,1
ILOILO,LEGANES,carrot,pieces or units,45.0,30.0,0.6666666666666666,False,9,2,1
CAPIZ,JAMINDAN,mango,pieces or units,75.0,50.0,0.6666666666666666,False,3,2,1
ANTIQUE,HAMTIC,cabbage,pieces or units,90.0,60.0,0.6666666666666666,False,26,2,1
ANTIQUE,PATNONGON,fresh fish,tumpok,300.0,200.0,0.6666666666666666,False,1,2,1
ANTIQUE,HAMTIC,carrot,pieces or units,45.0,30.0,0.6666666666666666,False,27,2,1
ILOILO,LEMERY,loaf bread,medium packs,65.0,42.5,0.6538461538461539,False,1,2,1
ANTIQUE,BELISON,loaf bread,large packs,130.25,85.0,0.6525911708253359,False,4,2,1
ILOILO,BATAD,loaf bread,small packs,50.0,32.5,0.65,False,1,3,2
ANTIQUE,CULASI,loaf bread,small packs,50.0,32.5,0.65,False,2,2,1
ILOILO,LEGANES,cabbage,pieces or units,55.0,35.0,0.6363636363636364,False,9,2,1
ANTIQUE,BUGASONG,loaf bread,large packs,173.75,110.0,0.6330935251798561,False,2,2,1
ILOILO,CONCEPCION,"crackers, cookies, buiscuits, chips/curls",pieces or units,64.0,40.0,0.625,False,1,2,1
ILOILO,BANATE,cabbage,pieces or units,60.0,37.5,0.625,False,12,2,1
ANTIQUE,LAUA-AN,cabbage,pieces or units,65.0,40.0,0.6153846153846154,False,11,2,1
ANTIQUE,TOBIAS FORNIER,loaf bread,large packs,130.0,80.0,0.6153846153846154,False,3,2,1
ANTIQUE,CULASI,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,45.0,27.5,0.6111111111111112,False,6,2,1
ANTIQUE,LAUA-AN,carrot,pieces or units,54.0,32.5,0.6018518518518519,False,5,2,1
ILOILO,SARA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,37.5,22.5,0.6,False,6,2,1
ILOILO,DINGLE,"crackers, cookies, buiscuits, chips/curls",pieces or units,50.0,30.0,0.6,False,5,2,1
ILOILO,BATAD,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,50.0,30.0,0.6,False,2,2,1
ILOILO,TUBUNGAN,loaf bread,large packs,120.0,70.0,0.5833333333333334,False,5,2,1
ILOILO,DINGLE,loaf bread,small packs,55.0,32.0,0.5818181818181818,False,3,2,1
ANTIQUE,SIBALOM,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,35.0,20.0,0.5714285714285714,False,5,4,3
ILOILO,JANIUAY,carrot,pieces or units,45.0,25.0,0.5555555555555556,False,19,2,1
AKLAN,IBAJAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,90.0,50.0,0.5555555555555556,False,3,2,1
ANTIQUE,PATNONGON,cabbage,pieces or units,90.0,50.0,0.5555555555555556,False,13,2,1
AKLAN,MALAY,cabbage,pieces or units,96.0,50.0,0.5208333333333334,False,26,2,1
NEGROS OCCIDENTAL,CALATRAVA,loaf bread,medium packs,100.0,50.0,0.5,True,3,2,1
ILOILO,SAN ENRIQUE,fresh fish,pack,300.0,150.0,0.5,True,1,2,1
ANTIQUE,BELISON,carrot,pieces or units,40.0,20.0,0.5,True,15,2,1
CAPIZ,JAMINDAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,30.0,15.0,0.5,True,2,2,1
AKLAN,MADALAG,cabbage,pieces or units,105.0,50.0,0.47619047619047616,True,18,2,1
AKLAN,MADALAG,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,57.5,27.0,0.46956521739130436,True,4,2,1
AKLAN,LIBACAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,80.0,37.5,0.46875,True,3,2,1
ILOILO,SARA,loaf bread,small packs,60.0,27.5,0.4583333333333333,True,3,2,1
AKLAN,BATAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,60.0,27.5,0.4583333333333333,True,2,3,2
ILOILO,BALASAN,loaf bread,large packs,197.5,88.75,0.44936708860759494,True,2,3,2
NEGROS OCCIDENTAL,TOBOSO,loaf bread,small packs,45.0,20.0,0.4444444444444444,True,1,2,1
ILOILO,CONCEPCION,loaf bread,large packs,160.0,67.5,0.421875,True,7,2,1
