province,item_group,mdate,year_month,cpi,cpi_ma3,cpi_source
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",767,2023-12,161.445601125063,,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",768,2024-01,158.168616769334,159.053627235676,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",769,2024-02,157.546663812631,160.40279114127,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",770,2024-03,165.493092841845,163.45086682349566,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",771,2024-04,167.312843816011,166.878219642147,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",772,2024-05,167.828722268585,167.36128900857332,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",773,2024-06,166.942300941124,166.98574666208134,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",774,2024-07,166.186216776535,166.1629136332973,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",775,2024-08,165.360223182233,165.260465896742,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",776,2024-09,164.234957731458,164.708959645137,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",777,2024-10,164.53169802172,163.73057736693,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",778,2024-11,162.425076347612,163.11695651522334,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",779,2024-12,162.394095176338,165.796864633989,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",780,2025-01,172.571422378017,169.034149888072,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",781,2025-02,172.136932109861,172.11801452160532,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",782,2025-03,171.645689076938,172.45240378652798,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",783,2025-04,173.574590172785,172.92807667293667,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",784,2025-05,173.563950769087,173.71058854577498,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",785,2025-06,173.993224695453,172.85570073823735,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",786,2025-07,171.009926750172,169.74992457917133,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",787,2025-08,164.246622291889,165.56933842583135,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",788,2025-09,161.451466235433,161.792885784133,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",789,2025-10,159.680568825077,160.70716797248403,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",790,2025-11,160.989468856942,160.55316884632035,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",791,2025-12,160.989468856942,161.53655463560065,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",792,2026-01,162.630726192918,161.71404746915502,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",793,2026-02,161.521947357605,161.63664198637633,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",794,2026-03,160.757252408606,161.39925622372235,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",795,2026-04,161.918568904956,160.95099618977034,tier1_province_exact_group
AKLAN,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",796,2026-05,160.177167255749,,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",767,2023-12,123.02731337826,,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",768,2024-01,123.597220825028,123.615887795701,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",769,2024-02,124.223129183815,123.13789118017799,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",770,2024-03,121.593323531691,121.85599061248799,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",771,2024-04,119.751519121958,117.69198667783,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",772,2024-05,111.731117379841,115.94101398111133,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",773,2024-06,116.340405441535,112.32056540345,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",774,2024-07,108.890173388974,109.82375567769999,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",775,2024-08,104.240688202591,107.65392816600001,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",776,2024-09,109.830922906435,109.593854241565,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",777,2024-10,114.709951615669,112.27868905895633,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",778,2024-11,112.295192654765,117.12672723981534,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",779,2024-12,124.375037449012,123.39314300526065,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",780,2025-01,133.509198912005,129.71833153797033,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",781,2025-02,131.270758252894,130.70061691805566,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",782,2025-03,127.321893589268,125.36516804683701,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",783,2025-04,117.502852298349,122.04155517953798,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",784,2025-05,121.299919650997,121.81048988834266,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",785,2025-06,126.628697715682,121.41179853700199,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",786,2025-07,116.306778244327,118.81582750762067,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",787,2025-08,113.512006562853,115.77562843983901,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",788,2025-09,117.508100512337,116.26011359036899,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",789,2025-10,117.760233695917,118.09516658539,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",790,2025-11,119.017165547916,119.87089394832599,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",791,2025-12,122.835282601145,127.46253597328733,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",792,2026-01,140.535159770801,136.90255898341232,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",793,2026-02,147.337234578291,142.83278306547632,tier1_province_exact_group
