hhid,pull_item,q_h,pull_nsu_unit,pull_province,pull_municipal_city,source,p_h,harmonized_nsu_unit,gap_sym,conv_route
H006760,fresh fish,7,putos,ILOILO,LEMERY,purchased,100,pack,1.305555555555556,refused: unique price
H006793,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,gamay nga tasa,ANTIQUE,TOBIAS FORNIER,purchased,10,small cup,3.142857142857143,refused: A11 spelling gap
H006801,loaf bread,1,small,CAPIZ,PANITAN,purchased,15,small packs,2.25,refused: A11 spelling gap
H006823,carrot,1,putos,ILOILO,DUMANGAS,purchased,5,pack,,refused: nothing anywhere
H006834,carrot,1,binilog,ANTIQUE,BELISON,purchased,15,pieces or units,2,refused: A11 spelling gap
H006915,"prawns, lobster, shrimp",3,putos,ILOILO,ESTANCIA,purchased,50,putos,,refused: nothing anywhere
H006918,"liquor (e.g, whisky, coconut wine)",7,7 ball,ANTIQUE,SIBALOM,purchased,20,7 ball,,refused: nothing anywhere
H006927,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,small cup (translate),ANTIQUE,TIBIAO,purchased,10,small cup,1.166666666666667,refused: unique price
H006950,loaf bread,10,gagmay nga putos,ANTIQUE,PATNONGON,purchased,5,small packs,2.625,refused: A11 spelling gap
H006964,loaf bread,2,gagmay nga putos,ILOILO,SARA,purchased,10,small packs,3.136363636363637,refused: A11 spelling gap
H006995,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,IBAJAY,purchased,10,pieces or units,3.5,refused: A11 spelling gap
H007011,carrot,1,putos,ILOILO,IGBARAS,purchased,10,pack,,refused: nothing anywhere
H007025,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,IBAJAY,purchased,22.5,pieces or units,3.5,refused: A11 spelling gap
H007029,carrot,1,putos,ILOILO,SAN RAFAEL,purchased,10,pack,,refused: nothing anywhere
H007087,"liquor (e.g, whisky, coconut wine)",6,long-neck,ILOILO,CALINOG,purchased,140,long-neck,,refused: unique price
H007133,loaf bread,3,dalagku nga putos,CAPIZ,IVISAN,purchased,80,large packs,2.047058823529412,refused: A11 spelling gap
H007143,carrot,3,pack,ILOILO,TUBUNGAN,purchased,10,pack,,refused: nothing anywhere
H007174,cabbage,11,slice,ILOILO,DINGLE,purchased,.9090909090909091,sliced,,refused: nothing anywhere
H007174,carrot,1,slice,ILOILO,DINGLE,purchased,10,slice,,refused: nothing anywhere
H007183,"liquor (e.g, whisky, coconut wine)",1,lipid / lapad,CAPIZ,SAPI-AN,purchased,55,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H007222,loaf bread,1,medium nga pakete,NEGROS OCCIDENTAL,CALATRAVA,purchased,50,medium packs,2,refused: A11 spelling gap
H007254,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",10,gamay nga tasa,ANTIQUE,SEBASTE,purchased,10,small cup,2,refused: A11 spelling gap
H007296,loaf bread,1,small,CAPIZ,PANITAN,purchased,65,small packs,2.25,refused: A11 spelling gap
H007359,"liquor (e.g, whisky, coconut wine)",1,lapad,AKLAN,IBAJAY,purchased,68,lipid/lapad,2,refused: A11 spelling gap
H007379,"prawns, lobster, shrimp",1,caltex,CAPIZ,PANAY,purchased,100,caltex,,refused: nothing anywhere
H007400,loaf bread,2,dalagku nga putos,ILOILO,MAASIN,purchased,70,large packs,2,refused: A11 spelling gap
H007401,"mineral or spring water, all drinking water sold in containers",10,5 gallon black container,CAPIZ,TAPAZ,purchased,1,5-gallon blue container,,refused: nothing anywhere
H007463,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",35,binilog,AKLAN,MALAY,own_production,5,pieces or units,4.2,refused: A11 spelling gap
H007494,"liquor (e.g, whisky, coconut wine)",2,long-neck,AKLAN,BURUANGA,purchased,120,long-neck,,refused: unique price
H007504,carrot,3,slice,ILOILO,TIGBAUAN,purchased,15,slice,,refused: nothing anywhere
H007506,"liquor (e.g, whisky, coconut wine)",1,long-neck,ILOILO,CALINOG,purchased,150,long-neck,,refused: unique price
H007522,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,gamay nga tasa,ILOILO,MIAGAO,purchased,20,small cup,2.8,refused: A11 spelling gap
H007530,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,binilog,AKLAN,IBAJAY,purchased,5,pieces or units,3.5,refused: A11 spelling gap
H007540,"liquor (e.g, whisky, coconut wine)",4,lapad,ANTIQUE,TOBIAS FORNIER,gift,80,lipid/lapad,2.666666666666667,refused: A11 spelling gap
H007662,loaf bread,10,gagmay nga putos,ANTIQUE,PATNONGON,purchased,5,small packs,2.625,refused: A11 spelling gap
H007681,fresh fish,2,pack,ILOILO,SAN ENRIQUE,purchased,100,pack,2,refused: A11 spelling gap
H007702,carrot,2,binilog,ILOILO,SAN JOAQUIN,purchased,25,pieces or units,2.166666666666667,refused: A11 spelling gap
H007750,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,binilog,AKLAN,IBAJAY,purchased,15,pieces or units,3.5,refused: A11 spelling gap
H007757,"liquor (e.g, whisky, coconut wine)",1,lapad,AKLAN,IBAJAY,gift,75,lipid/lapad,2,refused: A11 spelling gap
H007774,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",5,binilog,AKLAN,IBAJAY,purchased,5,pieces or units,3.5,refused: A11 spelling gap
H007784,"liquor (e.g, whisky, coconut wine)",3,lapad,AKLAN,IBAJAY,purchased,75,lipid/lapad,2,refused: A11 spelling gap
H007786,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",4,binilog,AKLAN,IBAJAY,purchased,20,pieces or units,3.5,refused: A11 spelling gap
H007810,loaf bread,2,medium nga pakete,NEGROS OCCIDENTAL,CALATRAVA,purchased,45,medium packs,2,refused: A11 spelling gap
H007814,"liquor (e.g, whisky, coconut wine)",1,long-neck,ILOILO,BAROTAC NUEVO,purchased,155,long-neck,,refused: unique price
H007825,loaf bread,1,small,CAPIZ,PANITAN,purchased,25,small packs,2.25,refused: A11 spelling gap
H007829,loaf bread,3,dalagku nga putos,CAPIZ,IVISAN,purchased,80,large packs,2.047058823529412,refused: A11 spelling gap
H007838,loaf bread,2,dalagku nga putos,ILOILO,MAASIN,purchased,120,large packs,2,refused: A11 spelling gap
H007880,loaf bread,1,large,ILOILO,SAN JOAQUIN,purchased,150,large packs,1.193548387096774,refused: unique price
