pull_province,pull_item,pull_municipal_city,p,rung,harmonized_nsu_unit,grams,n_g,weighing_approach,d_thin,gpp,cv_gpp,n_pairs,n_price,n_mun,gpp_loo,w_pred,ratio
AKLAN,chicken,IBAJAY,200,1,pieces or units,90,3,size-based,0,.45,.4315057725351732,14,11,6,1.666666666666667,333.3333333333334,3.703703703703704
AKLAN,chicken,IBAJAY,200,2,pieces or units,442.5,2,size-based,1,2.2125,.4315057725351732,14,11,6,1.666666666666667,333.3333333333334,.7532956685499059
AKLAN,chicken,IBAJAY,250,3,pieces or units,665,2,size-based,1,2.66,.4315057725351732,14,11,6,1.666666666666667,416.6666666666667,.6265664160401003
AKLAN,"crackers, cookies, buiscuits, chips/curls",IBAJAY,30,1,pieces or units,25,5,size-based,0,.8333333333333334,.3394942041398167,8,7,4,.6794871794871795,20.38461538461539,.8153846153846155
AKLAN,"crackers, cookies, buiscuits, chips/curls",IBAJAY,45,2,pieces or units,40,5,size-based,0,.8888888888888888,.3394942041398167,8,7,4,.6794871794871795,30.57692307692308,.7644230769230769
AKLAN,"crackers, cookies, buiscuits, chips/curls",IBAJAY,94.5,3,pieces or units,81.5,4,size-based,0,.8624338624338624,.3394942041398167,8,7,4,.6794871794871795,64.21153846153847,.7878716375648892
AKLAN,"crackers, cookies, buiscuits, chips/curls",IBAJAY,69,2,putos,300,2,price-quantity,1,4.347826086956522,.4922658415644239,15,13,10,3.245614035087719,223.9473684210526,.7464912280701754
AKLAN,"liquor (e.g, whisky, coconut wine)",IBAJAY,150,2,lipid/lapad,375,6,size-based,0,2.5,.2637839245228962,10,8,9,4.411764705882353,661.764705882353,1.764705882352941
AKLAN,"liquor (e.g, whisky, coconut wine)",IBAJAY,125,1,long-neck,750,6,size-based,0,6,.5724217485176846,14,14,9,1.858030372756558,232.2537965945697,.3096717287927597
AKLAN,"liquor (e.g, whisky, coconut wine)",IBAJAY,236,3,long-neck,1000,1,size-based,1,4.237288135593221,.5724217485176846,14,14,9,1.858030372756558,438.4951679705476,.4384951679705477
