pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,size_ord,w_l0,n_l0,nu_l0,weighing_approach,w_l1,n_l1,nu_l1,w_l2,n_l2,nu_l2,w_l3,n_l3,nu_l3,grams_used,n_g_used,nu_used,fallback_level,unconvertible,share_uncertain_used
fresh fish,AKLAN,IBAJAY,pieces or units,g,medium,240,5,1,3,235,14,6,387.5,62,22,390,685,213,240,5,1,the cell's own weighings,0,.2
fresh fish,AKLAN,IBAJAY,pieces or units,g,large,475,4,0,3,235,14,6,387.5,62,22,390,685,213,475,4,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,IBAJAY,pieces or units,mL,small,110,2,0,3,110,2,0,110,25,0,100,166,4,110,25,0,province x item x unit,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,IBAJAY,putos,mL,small,600,3,0,3,600,3,0,600,20,0,65,148,2,600,3,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,IBAJAY,small cup,mL,small,100,3,0,3,100,3,0,100,12,0,100,185,5,100,3,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",AKLAN,IBAJAY,lipid/lapad,mL,medium,375,6,0,3,375,6,0,375,76,0,375,618,7,375,6,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",AKLAN,IBAJAY,long-neck,mL,small,750,6,0,3,750,7,0,750,104,0,750,478,1,750,7,0,cell pooled across sizes,0,0
"liquor (e.g, whisky, coconut wine)",AKLAN,IBAJAY,long-neck,mL,large,1000,1,0,3,750,7,0,750,104,0,750,478,1,750,7,0,cell pooled across sizes,0,0
loaf bread,AKLAN,IBAJAY,large packs,g,large,620,3,0,3,620,3,0,640,43,0,640,411,6,620,3,0,the cell's own weighings,0,0
loaf bread,AKLAN,IBAJAY,medium packs,g,medium,525,2,0,3,525,2,0,450,51,0,450,352,0,450,51,0,province x item x unit,0,0
loaf bread,AKLAN,IBAJAY,small packs,g,small,372.5,2,0,3,372.5,2,0,360,33,0,370,259,2,360,33,0,province x item x unit,0,0
mango,AKLAN,IBAJAY,pieces or units,g,small,155,5,0,3,225,15,0,230,77,0,230,539,1,155,5,0,the cell's own weighings,0,0
mango,AKLAN,IBAJAY,pieces or units,g,medium,227.5,6,0,3,225,15,0,230,77,0,230,539,1,227.5,6,0,the cell's own weighings,0,0
mango,AKLAN,IBAJAY,pieces or units,g,large,312.5,4,0,3,225,15,0,230,77,0,230,539,1,312.5,4,0,the cell's own weighings,0,0
"prawns, lobster, shrimp",AKLAN,IBAJAY,tumpok,g,medium,455,3,1,1,455,3,1,290,23,5,260,147,27,455,3,1,the cell's own weighings,0,.3333333333333333
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,IBAJAY,pieces or units,g,small,57.5,2,0,3,57.5,2,0,65,28,3,65,33,7,65,28,3,province x item x unit,0,.1071428571428571
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,IBAJAY,putos,g,small,240,4,0,3,500,11,3,300,81,7,250,473,60,240,4,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,IBAJAY,putos,g,medium,500,4,0,3,500,11,3,300,81,7,250,473,60,500,4,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,IBAJAY,putos,g,large,1000,3,3,3,500,11,3,300,81,7,250,473,60,1000,3,3,the cell's own weighings,0,1
cabbage,AKLAN,LIBACAO,pieces or units,g,small,385,8,0,3,725,22,1,722.5,226,14,655,1306,73,385,8,0,the cell's own weighings,0,0
cabbage,AKLAN,LIBACAO,pieces or units,g,medium,755,7,0,3,725,22,1,722.5,226,14,655,1306,73,755,7,0,the cell's own weighings,0,0
cabbage,AKLAN,LIBACAO,pieces or units,g,large,1080,7,1,3,725,22,1,722.5,226,14,655,1306,73,1080,7,1,the cell's own weighings,0,.1428571428571428
