pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,size_ord,w_l0,n_l0,nu_l0,weighing_approach,w_l1,n_l1,nu_l1,w_l2,n_l2,nu_l2,w_l3,n_l3,nu_l3,grams_used,n_g_used,nu_used,fallback_level,unconvertible,share_uncertain_used
mango,ILOILO,SARA,pieces or units,g,small,200,3,0,3,245,9,0,230,289,0,230,539,1,245,9,0,cell pooled across sizes,0,0
mango,ILOILO,SARA,pieces or units,g,medium,257.5,4,0,3,245,9,0,230,289,0,230,539,1,245,9,0,cell pooled across sizes,0,0
mango,ILOILO,SARA,pieces or units,g,large,337.5,2,0,3,245,9,0,230,289,0,230,539,1,245,9,0,cell pooled across sizes,0,0
"prawns, lobster, shrimp",ILOILO,SARA,tumpok,g,small,147.5,2,0,3,332.5,6,0,250,55,10,260,147,27,332.5,6,0,cell pooled across sizes,0,0
"prawns, lobster, shrimp",ILOILO,SARA,tumpok,g,medium,350,3,0,3,332.5,6,0,250,55,10,260,147,27,332.5,6,0,cell pooled across sizes,0,0
"prawns, lobster, shrimp",ILOILO,SARA,tumpok,g,large,430,1,0,3,332.5,6,0,250,55,10,260,147,27,332.5,6,0,cell pooled across sizes,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,SARA,bilog,g,large,75,1,1,3,75,1,1,250,116,33,229,222,91,250,116,33,province x item x unit,0,.2844827586206897
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,SARA,putos,g,small,225,3,0,3,235,5,0,250,182,29,250,473,60,235,5,0,cell pooled across sizes,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,SARA,putos,g,medium,245,2,0,3,235,5,0,250,182,29,250,473,60,235,5,0,cell pooled across sizes,0,0
rice,ILOILO,SARA,gantang,g,conventional_nsu,2245,5,0,1,2245,5,0,2245,19,0,2247.5,28,0,2245,5,0,the cell's own weighings,0,0
cabbage,ILOILO,TIGBAUAN,pieces or units,g,medium,370,7,0,2,370,7,0,660,543,32,655,1306,73,370,7,0,the cell's own weighings,0,0
cabbage,ILOILO,TIGBAUAN,putos (mix vegetable),g,medium,85,3,0,2,85,3,0,130,20,1,160,37,6,85,3,0,the cell's own weighings,0,0
camote,ILOILO,TIGBAUAN,bilog,g,medium,120,5,0,2,120,5,0,140,296,116,140,509,195,120,5,0,the cell's own weighings,0,0
camote,ILOILO,TIGBAUAN,small packs,g,medium,175,6,0,2,175,6,0,175,6,0,175,6,0,175,6,0,the cell's own weighings,0,0
camote tops,ILOILO,TIGBAUAN,bugkos,g,medium,145,9,1,2,145,9,1,170,218,16,195,449,63,145,9,1,the cell's own weighings,0,.1111111111111111
camote tops,ILOILO,TIGBAUAN,bundle,g,medium,192.5,8,1,2,192.5,8,1,470,31,12,500,101,48,192.5,8,1,the cell's own weighings,0,.125
carrot,ILOILO,TIGBAUAN,pieces or units,g,small,97.5,4,0,3,110,9,1,135,538,74,140,1169,152,110,9,1,cell pooled across sizes,0,.1111111111111111
carrot,ILOILO,TIGBAUAN,pieces or units,g,medium,145,3,0,3,110,9,1,135,538,74,140,1169,152,110,9,1,cell pooled across sizes,0,.1111111111111111
carrot,ILOILO,TIGBAUAN,pieces or units,g,large,237.5,2,1,3,110,9,1,135,538,74,140,1169,152,110,9,1,cell pooled across sizes,0,.1111111111111111
carrot,ILOILO,TIGBAUAN,putos (mix vegetable),g,medium,85,3,3,2,85,3,3,135,12,12,152.5,16,16,85,3,3,the cell's own weighings,0,1
chicken,ILOILO,TIGBAUAN,bilog,g,small,810,3,0,3,1132.5,8,0,1072.5,130,0,1095,230,3,1132.5,8,0,cell pooled across sizes,0,0
chicken,ILOILO,TIGBAUAN,bilog,g,medium,1150,3,0,3,1132.5,8,0,1072.5,130,0,1095,230,3,1132.5,8,0,cell pooled across sizes,0,0
chicken,ILOILO,TIGBAUAN,bilog,g,large,1385,2,0,3,1132.5,8,0,1072.5,130,0,1095,230,3,1132.5,8,0,cell pooled across sizes,0,0
chicken,ILOILO,TIGBAUAN,pieces or units,g,medium,670,4,3,2,670,4,3,395,13,6,380,108,50,670,4,3,the cell's own weighings,0,.75
chicken,ILOILO,TIGBAUAN,slice,g,medium,122.5,2,0,2,122.5,2,0,122.5,2,0,225,11,0,225,11,0,item x unit (national),0,0
chicken,ILOILO,TIGBAUAN,whole (chicken),g,small,1015,5,0,3,1015,9,0,1035,180,1,1120,468,2,1015,9,0,cell pooled across sizes,0,0
chicken,ILOILO,TIGBAUAN,whole (chicken),g,medium,1127.5,2,0,3,1015,9,0,1035,180,1,1120,468,2,1015,9,0,cell pooled across sizes,0,0
chicken,ILOILO,TIGBAUAN,whole (chicken),g,large,1297.5,2,0,3,1015,9,0,1035,180,1,1120,468,2,1015,9,0,cell pooled across sizes,0,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,TIGBAUAN,pack,g,small,320,7,0,3,320,7,0,302.5,32,0,300,63,4,320,7,0,the cell's own weighings,0,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,TIGBAUAN,pieces or units,g,small,35,9,0,3,35,9,0,32,227,34,32,505,68,35,9,0,the cell's own weighings,0,0
"crackers, cookies, buiscuits, chips/curls",ILOILO,TIGBAUAN,putos,g,small,60,3,1,3,90,9,1,100,230,105,210,482,249,90,9,1,cell pooled across sizes,0,.1111111111111111
"crackers, cookies, buiscuits, chips/curls",ILOILO,TIGBAUAN,putos,g,medium,92.5,4,0,3,90,9,1,100,230,105,210,482,249,90,9,1,cell pooled across sizes,0,.1111111111111111
"crackers, cookies, buiscuits, chips/curls",ILOILO,TIGBAUAN,putos,g,large,250,2,0,3,90,9,1,100,230,105,210,482,249,90,9,1,cell pooled across sizes,0,.1111111111111111
"drinks at restaurant, hotel, cafe, or kiosk",ILOILO,TIGBAUAN,pieces or units,g,small,375,2,0,3,575,4,0,437.5,12,0,450,25,1,575,4,0,cell pooled across sizes,0,0
"drinks at restaurant, hotel, cafe, or kiosk",ILOILO,TIGBAUAN,pieces or units,g,large,730,2,0,3,575,4,0,437.5,12,0,450,25,1,575,4,0,cell pooled across sizes,0,0
"drinks at restaurant, hotel, cafe, or kiosk",ILOILO,TIGBAUAN,pieces or units,mL,small,183.5,2,0,3,184,3,0,355,65,11,355,164,34,184,3,0,cell pooled across sizes,0,0
"drinks at restaurant, hotel, cafe, or kiosk",ILOILO,TIGBAUAN,pieces or units,mL,large,745,1,0,3,184,3,0,355,65,11,355,164,34,184,3,0,cell pooled across sizes,0,0
fresh fish,ILOILO,TIGBAUAN,pieces or units,g,small,105,3,2,2,295,9,2,390,368,102,390,685,213,105,3,2,the cell's own weighings,0,.6666666666666666
fresh fish,ILOILO,TIGBAUAN,pieces or units,g,medium,295,3,0,2,295,9,2,390,368,102,390,685,213,295,3,0,the cell's own weighings,0,0
fresh fish,ILOILO,TIGBAUAN,pieces or units,g,large,425,3,0,2,295,9,2,390,368,102,390,685,213,425,3,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TIGBAUAN,gallons,g,small,485,1,0,3,515,2,0,515,2,0,515,2,0,,,,,1,
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TIGBAUAN,gallons,g,large,545,1,0,3,515,2,0,515,2,0,515,2,0,,,,,1,
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TIGBAUAN,gallons,mL,medium,950,1,0,3,950,1,0,950,3,0,950,3,0,950,3,0,province x item x unit,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TIGBAUAN,pieces or units,g,small,50,5,0,3,50,9,0,55,59,7,60,94,12,50,9,0,cell pooled across sizes,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TIGBAUAN,pieces or units,g,medium,56,2,0,3,50,9,0,55,59,7,60,94,12,50,9,0,cell pooled across sizes,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TIGBAUAN,pieces or units,g,large,82.5,2,0,3,50,9,0,55,59,7,60,94,12,50,9,0,cell pooled across sizes,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TIGBAUAN,pieces or units,mL,small,97.5,2,0,3,97.5,2,0,100,60,0,100,166,4,100,60,0,province x item x unit,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TIGBAUAN,plastic cup,g,large,485,1,0,3,485,1,0,485,1,0,485,1,0,,,,,1,
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TIGBAUAN,putos,g,small,57.5,2,0,3,65,4,0,60,52,0,58,82,0,65,4,0,cell pooled across sizes,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TIGBAUAN,putos,g,large,277.5,2,0,3,65,4,0,60,52,0,58,82,0,65,4,0,cell pooled across sizes,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TIGBAUAN,putos,mL,small,75,2,0,3,75,2,0,65,60,1,65,148,2,65,60,1,province x item x unit,0,.0166666666666667
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TIGBAUAN,small cup,g,small,277.5,2,0,3,485,3,0,100,71,15,100,120,18,485,3,0,cell pooled across sizes,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TIGBAUAN,small cup,g,large,490,1,0,3,485,3,0,100,71,15,100,120,18,485,3,0,cell pooled across sizes,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TIGBAUAN,small cup,mL,small,120,1,0,3,150,2,0,100,75,2,100,185,5,100,75,2,province x item x unit,0,.0266666666666667
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TIGBAUAN,small cup,mL,medium,180,1,0,3,150,2,0,100,75,2,100,185,5,100,75,2,province x item x unit,0,.0266666666666667
"liquor (e.g, whisky, coconut wine)",ILOILO,TIGBAUAN,lipid/lapad,mL,small,677.5,6,0,3,680,9,0,375,267,4,375,618,7,677.5,6,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ILOILO,TIGBAUAN,lipid/lapad,mL,medium,690,3,0,3,680,9,0,375,267,4,375,618,7,690,3,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ILOILO,TIGBAUAN,long-neck,mL,medium,1215,5,0,3,1225,9,0,750,185,1,750,478,1,1215,5,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ILOILO,TIGBAUAN,long-neck,mL,large,1240,4,0,3,1225,9,0,750,185,1,750,478,1,1240,4,0,the cell's own weighings,0,0
loaf bread,ILOILO,TIGBAUAN,large packs,g,small,480,3,0,3,667.5,8,0,640,188,1,640,411,6,667.5,8,0,cell pooled across sizes,0,0
loaf bread,ILOILO,TIGBAUAN,large packs,g,medium,670,4,0,3,667.5,8,0,640,188,1,640,411,6,667.5,8,0,cell pooled across sizes,0,0
loaf bread,ILOILO,TIGBAUAN,large packs,g,large,765,1,0,3,667.5,8,0,640,188,1,640,411,6,667.5,8,0,cell pooled across sizes,0,0
loaf bread,ILOILO,TIGBAUAN,medium packs,g,small,475,3,0,3,475,5,0,450,160,0,450,352,0,475,5,0,cell pooled across sizes,0,0
loaf bread,ILOILO,TIGBAUAN,medium packs,g,medium,527.5,2,0,3,475,5,0,450,160,0,450,352,0,475,5,0,cell pooled across sizes,0,0
loaf bread,ILOILO,TIGBAUAN,small packs,g,small,385,3,0,3,385,3,0,385,123,2,370,259,2,385,3,0,the cell's own weighings,0,0
mango,ILOILO,TIGBAUAN,pieces or units,g,medium,135,3,0,2,135,3,0,230,289,0,230,539,1,135,3,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,TIGBAUAN,bilog,g,small,165,3,0,3,255,9,2,250,116,33,229,222,91,255,9,2,cell pooled across sizes,0,.2222222222222222
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,TIGBAUAN,bilog,g,medium,257.5,4,0,3,255,9,2,250,116,33,229,222,91,255,9,2,cell pooled across sizes,0,.2222222222222222
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,TIGBAUAN,bilog,g,large,587.5,2,2,3,255,9,2,250,116,33,229,222,91,255,9,2,cell pooled across sizes,0,.2222222222222222
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,TIGBAUAN,pack,g,small,250,3,0,3,260,8,0,250,70,12,250,85,12,260,8,0,cell pooled across sizes,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,TIGBAUAN,pack,g,medium,265,4,0,3,260,8,0,250,70,12,250,85,12,260,8,0,cell pooled across sizes,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,TIGBAUAN,pack,g,large,290,1,0,3,260,8,0,250,70,12,250,85,12,260,8,0,cell pooled across sizes,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,TIGBAUAN,putos,g,small,195,3,0,3,210,5,0,250,182,29,250,473,60,210,5,0,cell pooled across sizes,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,TIGBAUAN,putos,g,medium,280,2,0,3,210,5,0,250,182,29,250,473,60,210,5,0,cell pooled across sizes,0,0
rice,ILOILO,TIGBAUAN,salmon,g,conventional_nsu,405,3,0,1,405,3,0,410,21,0,410,21,0,405,3,0,the cell's own weighings,0,0
cabbage,ILOILO,TUBUNGAN,pack,g,small,110,3,0,3,110,3,0,135,26,1,150,43,6,110,3,0,the cell's own weighings,0,0
cabbage,ILOILO,TUBUNGAN,pieces or units,g,medium,655,3,0,3,680,5,0,660,543,32,655,1306,73,680,5,0,cell pooled across sizes,0,0
cabbage,ILOILO,TUBUNGAN,pieces or units,g,large,830,2,0,3,680,5,0,660,543,32,655,1306,73,680,5,0,cell pooled across sizes,0,0
camote tops,ILOILO,TUBUNGAN,bugkos,g,medium,220,3,0,2,220,3,0,170,218,16,195,449,63,220,3,0,the cell's own weighings,0,0
carrot,ILOILO,TUBUNGAN,pieces or units,g,small,137.5,2,0,3,145,4,1,135,538,74,140,1169,152,145,4,1,cell pooled across sizes,0,.25
carrot,ILOILO,TUBUNGAN,pieces or units,g,medium,197.5,2,1,3,145,4,1,135,538,74,140,1169,152,145,4,1,cell pooled across sizes,0,.25
chicken,ILOILO,TUBUNGAN,bilog,g,small,905,2,0,3,1090,3,0,1072.5,130,0,1095,230,3,1090,3,0,cell pooled across sizes,0,0
chicken,ILOILO,TUBUNGAN,bilog,g,large,1515,1,0,3,1090,3,0,1072.5,130,0,1095,230,3,1090,3,0,cell pooled across sizes,0,0
"drinks at restaurant, hotel, cafe, or kiosk",ILOILO,TUBUNGAN,pieces or units,mL,medium,355,3,0,3,355,3,0,355,65,11,355,164,34,355,3,0,the cell's own weighings,0,0
fresh fish,ILOILO,TUBUNGAN,pieces or units,g,small,142.5,4,1,3,350,12,5,390,368,102,390,685,213,142.5,4,1,the cell's own weighings,0,.25
fresh fish,ILOILO,TUBUNGAN,pieces or units,g,medium,405,5,1,3,350,12,5,390,368,102,390,685,213,405,5,1,the cell's own weighings,0,.2
fresh fish,ILOILO,TUBUNGAN,pieces or units,g,large,750,3,3,3,350,12,5,390,368,102,390,685,213,750,3,3,the cell's own weighings,0,1
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TUBUNGAN,gallons,mL,medium,950,2,0,3,950,2,0,950,3,0,950,3,0,950,3,0,province x item x unit,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TUBUNGAN,pieces or units,mL,small,105,6,0,3,110,9,0,100,60,0,100,166,4,105,6,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TUBUNGAN,pieces or units,mL,medium,140,3,0,3,110,9,0,100,60,0,100,166,4,140,3,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TUBUNGAN,putos,g,small,60,1,0,3,60,1,0,60,52,0,58,82,0,60,52,0,province x item x unit,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TUBUNGAN,putos,mL,small,47.5,4,0,3,57.5,8,0,65,60,1,65,148,2,47.5,4,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,TUBUNGAN,putos,mL,medium,72.5,4,0,3,57.5,8,0,65,60,1,65,148,2,72.5,4,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ILOILO,TUBUNGAN,lipid/lapad,mL,medium,375,9,0,3,375,9,0,375,267,4,375,618,7,375,9,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ILOILO,TUBUNGAN,long-neck,mL,large,750,9,0,3,750,9,0,750,185,1,750,478,1,750,9,0,the cell's own weighings,0,0
loaf bread,ILOILO,TUBUNGAN,large packs,g,large,700,5,0,3,700,5,0,640,188,1,640,411,6,700,5,0,the cell's own weighings,0,0
loaf bread,ILOILO,TUBUNGAN,medium packs,g,medium,500,7,0,3,500,7,0,450,160,0,450,352,0,500,7,0,the cell's own weighings,0,0
loaf bread,ILOILO,TUBUNGAN,small packs,g,small,400,5,0,3,400,5,0,385,123,2,370,259,2,400,5,0,the cell's own weighings,0,0
mango,ILOILO,TUBUNGAN,pieces or units,g,small,210,3,0,3,235,5,0,230,289,0,230,539,1,235,5,0,cell pooled across sizes,0,0
mango,ILOILO,TUBUNGAN,pieces or units,g,medium,250,2,0,3,235,5,0,230,289,0,230,539,1,235,5,0,cell pooled across sizes,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,TUBUNGAN,bilog,g,small,200,3,0,3,200,3,0,250,116,33,229,222,91,200,3,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,TUBUNGAN,putos,g,small,100,3,2,3,250,8,2,250,182,29,250,473,60,250,8,2,cell pooled across sizes,0,.25
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,TUBUNGAN,putos,g,medium,250,4,0,3,250,8,2,250,182,29,250,473,60,250,8,2,cell pooled across sizes,0,.25
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,TUBUNGAN,putos,g,large,500,1,0,3,250,8,2,250,182,29,250,473,60,250,8,2,cell pooled across sizes,0,.25
rice,ILOILO,TUBUNGAN,salmon,g,conventional_nsu,422.5,4,0,1,422.5,4,0,410,21,0,410,21,0,422.5,4,0,the cell's own weighings,0,0
cabbage,ILOILO,ZARRAGA,pack,g,small,130,1,0,3,130,1,0,135,26,1,150,43,6,135,26,1,province x item x unit,0,.0384615384615385
cabbage,ILOILO,ZARRAGA,pieces or units,g,small,440,5,0,3,690,15,0,660,543,32,655,1306,73,440,5,0,the cell's own weighings,0,0
cabbage,ILOILO,ZARRAGA,pieces or units,g,medium,695,6,0,3,690,15,0,660,543,32,655,1306,73,695,6,0,the cell's own weighings,0,0
cabbage,ILOILO,ZARRAGA,pieces or units,g,large,957.5,4,0,3,690,15,0,660,543,32,655,1306,73,957.5,4,0,the cell's own weighings,0,0
camote tops,ILOILO,ZARRAGA,bugkos,g,medium,172.5,4,0,2,172.5,4,0,170,218,16,195,449,63,172.5,4,0,the cell's own weighings,0,0
carrot,ILOILO,ZARRAGA,pieces or units,g,medium,115,5,0,2,115,5,0,135,538,74,140,1169,152,115,5,0,the cell's own weighings,0,0
chicken,ILOILO,ZARRAGA,bilog,g,small,955,5,0,3,1120,13,0,1072.5,130,0,1095,230,3,955,5,0,the cell's own weighings,0,0
chicken,ILOILO,ZARRAGA,bilog,g,medium,1135,4,0,3,1120,13,0,1072.5,130,0,1095,230,3,1135,4,0,the cell's own weighings,0,0
chicken,ILOILO,ZARRAGA,bilog,g,large,1220,4,0,3,1120,13,0,1072.5,130,0,1095,230,3,1220,4,0,the cell's own weighings,0,0
chicken,ILOILO,ZARRAGA,pieces of fried chicken,g,medium,50,4,4,2,50,4,4,50,4,4,50,4,4,50,4,4,the cell's own weighings,0,1
fresh fish,ILOILO,ZARRAGA,pieces or units,g,small,302.5,6,0,3,420,18,2,390,368,102,390,685,213,302.5,6,0,the cell's own weighings,0,0
fresh fish,ILOILO,ZARRAGA,pieces or units,g,medium,425,7,0,3,420,18,2,390,368,102,390,685,213,425,7,0,the cell's own weighings,0,0
fresh fish,ILOILO,ZARRAGA,pieces or units,g,large,535,5,2,3,420,18,2,390,368,102,390,685,213,535,5,2,the cell's own weighings,0,.4
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,ZARRAGA,pieces or units,mL,small,60,2,0,3,60,3,0,100,60,0,100,166,4,60,3,0,cell pooled across sizes,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,ZARRAGA,pieces or units,mL,medium,65,1,0,3,60,3,0,100,60,0,100,166,4,60,3,0,cell pooled across sizes,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",ILOILO,ZARRAGA,small cup,mL,small,100,3,0,3,100,3,0,100,75,2,100,185,5,100,3,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",ILOILO,ZARRAGA,lipid/lapad,mL,medium,375,5,0,3,375,5,0,375,267,4,375,618,7,375,5,0,the cell's own weighings,0,0
loaf bread,ILOILO,ZARRAGA,large packs,g,large,640,6,0,3,640,6,0,640,188,1,640,411,6,640,6,0,the cell's own weighings,0,0
loaf bread,ILOILO,ZARRAGA,medium packs,g,medium,450,7,0,3,450,7,0,450,160,0,450,352,0,450,7,0,the cell's own weighings,0,0
loaf bread,ILOILO,ZARRAGA,small packs,g,small,360,3,0,3,360,3,0,385,123,2,370,259,2,360,3,0,the cell's own weighings,0,0
mango,ILOILO,ZARRAGA,pieces or units,g,medium,180,4,0,2,180,4,0,230,289,0,230,539,1,180,4,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,ZARRAGA,bilog,g,small,50,3,3,3,65,8,8,250,116,33,229,222,91,65,8,8,cell pooled across sizes,0,1
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,ZARRAGA,bilog,g,medium,65,3,3,3,65,8,8,250,116,33,229,222,91,65,8,8,cell pooled across sizes,0,1
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,ZARRAGA,bilog,g,large,72.5,2,2,3,65,8,8,250,116,33,229,222,91,65,8,8,cell pooled across sizes,0,1
"preserved or processed meat (tocino, tapa, longaniza, etc)",ILOILO,ZARRAGA,putos,g,medium,250,11,0,3,250,11,0,250,182,29,250,473,60,250,11,0,the cell's own weighings,0,0
rice,ILOILO,ZARRAGA,salmon,g,conventional_nsu,415,1,0,1,415,1,0,410,21,0,410,21,0,410,21,0,province x item x unit,0,0
cabbage,NEGROS OCCIDENTAL,BINALBAGAN,pieces or units,g,small,515,3,0,3,770,9,0,520,149,11,655,1306,73,770,9,0,cell pooled across sizes,0,0
cabbage,NEGROS OCCIDENTAL,BINALBAGAN,pieces or units,g,medium,835,4,0,3,770,9,0,520,149,11,655,1306,73,770,9,0,cell pooled across sizes,0,0
cabbage,NEGROS OCCIDENTAL,BINALBAGAN,pieces or units,g,large,957.5,2,0,3,770,9,0,520,149,11,655,1306,73,770,9,0,cell pooled across sizes,0,0
camote tops,NEGROS OCCIDENTAL,BINALBAGAN,bugkos,g,small,300,2,1,3,300,2,1,305,74,31,195,449,63,305,74,31,province x item x unit,0,.4189189189189189
camote tops,NEGROS OCCIDENTAL,BINALBAGAN,bundle,g,small,245,3,0,3,405,9,3,270,19,3,500,101,48,405,9,3,cell pooled across sizes,0,.3333333333333333
camote tops,NEGROS OCCIDENTAL,BINALBAGAN,bundle,g,medium,415,4,1,3,405,9,3,270,19,3,500,101,48,405,9,3,cell pooled across sizes,0,.3333333333333333
camote tops,NEGROS OCCIDENTAL,BINALBAGAN,bundle,g,large,662.5,2,2,3,405,9,3,270,19,3,500,101,48,405,9,3,cell pooled across sizes,0,.3333333333333333
chicken,NEGROS OCCIDENTAL,BINALBAGAN,bilog,g,large,1190,1,0,3,1190,1,0,1095,55,3,1095,230,3,1095,55,3,province x item x unit,0,.0545454545454545
chicken,NEGROS OCCIDENTAL,BINALBAGAN,whole (chicken),g,small,890,3,0,3,985,9,0,1120,65,0,1120,468,2,985,9,0,cell pooled across sizes,0,0
chicken,NEGROS OCCIDENTAL,BINALBAGAN,whole (chicken),g,medium,1035,4,0,3,985,9,0,1120,65,0,1120,468,2,985,9,0,cell pooled across sizes,0,0
chicken,NEGROS OCCIDENTAL,BINALBAGAN,whole (chicken),g,large,1172.5,2,0,3,985,9,0,1120,65,0,1120,468,2,985,9,0,cell pooled across sizes,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",NEGROS OCCIDENTAL,BINALBAGAN,pieces or units,mL,small,60,5,0,3,60,5,0,65,31,3,100,166,4,60,5,0,the cell's own weighings,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",NEGROS OCCIDENTAL,BINALBAGAN,small cup,mL,small,120,3,0,3,120,3,0,100,33,2,100,185,5,120,3,0,the cell's own weighings,0,0
"liquor (e.g, whisky, coconut wine)",NEGROS OCCIDENTAL,BINALBAGAN,lipid/lapad,mL,medium,375,6,0,2,375,6,0,375,72,0,375,618,7,375,6,0,the cell's own weighings,0,0
loaf bread,NEGROS OCCIDENTAL,BINALBAGAN,large packs,g,large,640,4,0,3,640,4,0,640,65,2,640,411,6,640,4,0,the cell's own weighings,0,0
loaf bread,NEGROS OCCIDENTAL,BINALBAGAN,medium packs,g,medium,450,5,0,3,450,5,0,450,52,0,450,352,0,450,5,0,the cell's own weighings,0,0
"preserved or processed meat (tocino, tapa, longaniza, etc)",NEGROS OCCIDENTAL,BINALBAGAN,putos,g,medium,245,4,0,2,245,4,0,250,70,3,250,473,60,245,4,0,the cell's own weighings,0,0
cabbage,NEGROS OCCIDENTAL,CALATRAVA,pieces or units,g,medium,495,6,0,2,495,6,0,520,149,11,655,1306,73,495,6,0,the cell's own weighings,0,0
camote tops,NEGROS OCCIDENTAL,CALATRAVA,bundle,g,small,252.5,4,0,3,252.5,4,0,270,19,3,500,101,48,252.5,4,0,the cell's own weighings,0,0
carrot,NEGROS OCCIDENTAL,CALATRAVA,pieces or units,g,medium,85,6,0,2,85,6,0,130,82,3,140,1169,152,85,6,0,the cell's own weighings,0,0
chicken,NEGROS OCCIDENTAL,CALATRAVA,whole (chicken),g,medium,1150,3,0,2,1150,3,0,1120,65,0,1120,468,2,1150,3,0,the cell's own weighings,0,0
"drinks at restaurant, hotel, cafe, or kiosk",NEGROS OCCIDENTAL,CALATRAVA,pieces or units,mL,medium,500,2,0,3,500,2,0,500,10,1,355,164,34,500,10,1,province x item x unit,0,.1
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",NEGROS OCCIDENTAL,CALATRAVA,pieces or units,mL,small,110,2,0,3,110,3,0,65,31,3,100,166,4,110,3,0,cell pooled across sizes,0,0
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",NEGROS OCCIDENTAL,CALATRAVA,pieces or units,mL,medium,115,1,0,3,110,3,0,65,31,3,100,166,4,110,3,0,cell pooled across sizes,0,0
"liquor (e.g, whisky, coconut wine)",NEGROS OCCIDENTAL,CALATRAVA,lipid/lapad,mL,medium,375,5,0,2,375,5,0,375,72,0,375,618,7,375,5,0,the cell's own weighings,0,0
