pull_province,pull_item,pull_municipal_city,harmonized_nsu_unit,p_g,has_mun_med,has_prov_med,has_unique,branch,n_points,n_points_conv
ILOILO,fresh fish,LEMERY,pack,50,0,0,1,3,3,2
ILOILO,"liquor (e.g, whisky, coconut wine)",LEMERY,long-neck,150,0,0,1,3,2,1
ILOILO,"preserved or processed meat (tocino, tapa, longaniza, etc)",LEMERY,pack,455,0,0,1,3,2,1
ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",LEON,putos,20,0,0,1,3,2,1
ILOILO,"crackers, cookies, buiscuits, chips/curls",MAASIN,pack,320,0,0,1,3,2,1
ILOILO,pork,MAASIN,pieces or units,70,0,0,1,2,2,1
ILOILO,mango,MIAGAO,pieces or units,50,0,0,1,3,2,1
ILOILO,"crackers, cookies, buiscuits, chips/curls",MINA,pack,204,0,0,1,3,2,1
ILOILO,"liquor (e.g, whisky, coconut wine)",MINA,long-neck,150,0,0,1,3,2,1
ILOILO,"preserved or processed meat (tocino, tapa, longaniza, etc)",MINA,pack,50,0,0,1,3,2,1
ILOILO,rice,MINA,gantang,130,0,0,1,1,2,1
ILOILO,cabbage,NEW LUCENA,pack,50,0,0,1,3,2,1
ILOILO,"liquor (e.g, whisky, coconut wine)",NEW LUCENA,long-neck,280,0,0,1,3,2,1
ILOILO,"prawns, lobster, shrimp",NEW LUCENA,tumpok,100,0,0,1,3,2,1
ILOILO,"liquor (e.g, whisky, coconut wine)",OTON,long-neck,225,0,0,1,3,2,1
ILOILO,"liquor (e.g, whisky, coconut wine)",POTOTAN,long-neck,375,0,0,1,3,3,1
ILOILO,"liquor (e.g, whisky, coconut wine)",POTOTAN,long-neck,900,0,0,1,3,3,1
ILOILO,pork,POTOTAN,pieces or units,25,0,0,1,2,2,1
ILOILO,camote,SAN DIONISIO,bilog,60,0,0,1,3,2,1
ILOILO,"preserved or processed meat (tocino, tapa, longaniza, etc)",SAN DIONISIO,cans,48,0,0,1,3,2,1
ILOILO,fresh fish,SAN ENRIQUE,pack,150,0,0,1,3,3,1
ILOILO,fresh fish,SAN ENRIQUE,pack,400,0,0,1,3,3,1
ILOILO,fresh fish,SAN ENRIQUE,pieces or units,20,0,0,1,3,3,2
ILOILO,"liquor (e.g, whisky, coconut wine)",SAN ENRIQUE,long-neck,75,0,0,1,3,2,1
ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",SAN JOAQUIN,putos,25,0,0,1,3,2,1
ILOILO,loaf bread,SAN JOAQUIN,large packs,170,0,0,1,3,2,1
ILOILO,loaf bread,SAN JOAQUIN,small packs,100,0,0,1,3,2,1
