pull_province,pull_item,pull_municipal_city,harmonized_nsu_unit,p_g,conv_rank,corrected_unit,d_reclassified,k_use,n_points,d_point_usable,unusable_why,w_g,n_g,n_disputed,n_uncertain,group_id,n_filled,n_empty,branch,w_use,v_use,hetero_code,share_uncertain,d_thin
AKLAN,loaf bread,BATAN,large packs,76.875,1,g,0,2,2,1,,620,3,0,0,1,2,0,3,620,.123991935483871,,0,0
AKLAN,loaf bread,BATAN,large packs,160,2,g,0,2,2,1,,670,2,0,0,2,2,0,3,670,.2388059701492537,,0,1
AKLAN,loaf bread,BATAN,medium packs,62.5,1,g,0,2,2,1,,450,1,0,0,1,1,1,3,450,.1388888888888889,,0,1
AKLAN,loaf bread,BATAN,medium packs,130,2,g,0,2,2,0,this part of the cut came back empty,,,,,,,,3,,,,,
AKLAN,loaf bread,BATAN,small packs,60,1,g,0,1,1,1,,330,2,0,0,1,1,0,3,330,.1818181818181818,,0,1
AKLAN,mango,BATAN,pieces or units,65,1,g,0,1,1,1,,245,15,0,0,1,1,0,3,245,.2653061224489796,,0,0
AKLAN,"prawns, lobster, shrimp",BATAN,tumpok,50,1,g,1,1,2,1,,190,2,0,0,1,1,0,3,190,.2631578947368421,,0,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BATAN,cans,85,1,g,0,1,1,1,,152.5,18,0,0,1,1,0,3,152.5,.5573770491803278,,0,0
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BATAN,cans,120,,g,0,1,1,0,"unique price, no weighing behind it",,,,,,,,3,,,,,
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BATAN,pieces or units,58.75,1,g,0,2,2,1,,45,1,0,0,1,1,1,3,45,1.305555555555556,,0,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BATAN,pieces or units,98.5,2,g,0,2,2,0,this part of the cut came back empty,,,,,,,,3,,,,,
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BATAN,putos,120,1,g,0,1,1,1,,305,4,0,0,1,1,0,3,305,.3934426229508197,,0,0
AKLAN,cabbage,BURUANGA,pieces or units,52.5,1,g,0,1,1,1,,625,13,0,0,1,1,0,3,625,.084,,0,0
AKLAN,cabbage,BURUANGA,small packs,20,1,g,0,1,1,1,,235,3,0,0,1,1,0,3,235,.0851063829787234,,0,0
AKLAN,camote,BURUANGA,binilog,15,1,g,0,1,1,1,,100,8,0,0,1,1,0,3,100,.15,,0,0
AKLAN,camote tops,BURUANGA,bundle,25,1,g,1,1,1,1,,897.5,2,1,1,1,1,0,3,897.5,.0278551532033426,,.5,1
AKLAN,carrot,BURUANGA,pieces or units,32.625,1,g,0,2,2,1,,90,7,0,0,1,2,0,3,90,.3625,,0,0
AKLAN,carrot,BURUANGA,pieces or units,73.5,2,g,0,2,2,1,,220,6,0,0,2,2,0,3,220,.3340909090909091,,0,0
AKLAN,chicken,BURUANGA,pieces or units,250,1,g,0,1,1,1,,600,3,0,0,1,1,0,3,600,.4166666666666667,,0,0
AKLAN,chicken,BURUANGA,pieces or units,200,,g,0,1,1,0,"unique price, no weighing behind it",,,,,,,,3,,,,,
AKLAN,chicken,BURUANGA,whole (chicken),245,1,g,0,3,3,1,,945,3,0,0,1,3,0,3,945,.2592592592592592,,0,0
AKLAN,chicken,BURUANGA,whole (chicken),280,2,g,0,3,3,1,,1180,2,0,0,2,3,0,3,1180,.2372881355932203,,0,1
AKLAN,chicken,BURUANGA,whole (chicken),350,3,g,0,3,3,1,,1545,2,0,0,3,3,0,3,1545,.226537216828479,,0,1
AKLAN,"crackers, cookies, buiscuits, chips/curls",BURUANGA,pack,34,,g,0,,1,1,,98,1,0,0,1,,,2,98,.3469387755102041,province_median,0,1
AKLAN,"crackers, cookies, buiscuits, chips/curls",BURUANGA,putos,8,,g,0,,3,1,,29,8,8,8,1,,,2,29,.2758620689655172,mp25_price,1,0
AKLAN,"crackers, cookies, buiscuits, chips/curls",BURUANGA,putos,32,,g,0,,3,1,,90,8,0,0,2,,,2,90,.3555555555555556,mp50_price,0,0
AKLAN,"crackers, cookies, buiscuits, chips/curls",BURUANGA,putos,70,,g,0,,3,1,,300,8,0,0,3,,,2,300,.2333333333333333,mp75_price,0,0
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BURUANGA,pack,30,1,g,0,1,1,1,,60,3,3,3,1,1,0,3,60,.5,,1,0
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",BURUANGA,small cup,30,1,g,0,1,1,1,,117.5,2,0,0,1,1,0,3,117.5,.2553191489361702,,0,1
AKLAN,"liquor (e.g, whisky, coconut wine)",BURUANGA,lipid/lapad,75,1,mL,0,1,1,1,,375,9,0,0,1,1,0,3,375,.2,,0,0
AKLAN,"liquor (e.g, whisky, coconut wine)",BURUANGA,long-neck,240,1,mL,0,1,1,1,,750,9,0,0,1,1,0,3,750,.32,,0,0
AKLAN,"liquor (e.g, whisky, coconut wine)",BURUANGA,long-neck,130,,mL,0,1,1,0,"unique price, no weighing behind it",,,,,,,,3,,,,,
AKLAN,loaf bread,BURUANGA,large packs,50,1,g,0,1,1,1,,600,3,0,0,1,1,0,3,600,.0833333333333333,,0,0
AKLAN,loaf bread,BURUANGA,medium packs,60,1,g,0,1,1,1,,450,5,0,0,1,1,0,3,450,.1333333333333333,,0,0
AKLAN,loaf bread,BURUANGA,small packs,30,1,g,0,2,2,1,,257.5,2,0,0,1,2,0,3,257.5,.116504854368932,,0,1
AKLAN,loaf bread,BURUANGA,small packs,80,2,g,0,2,2,1,,400,2,0,0,2,2,0,3,400,.2,,0,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BURUANGA,pieces or units,53.5,1,g,0,1,1,1,,250,3,2,2,1,1,0,3,250,.214,,.6666666666666666,0
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",BURUANGA,putos,120,1,g,0,1,1,1,,225,8,0,0,1,1,0,3,225,.5333333333333333,,0,0
AKLAN,cabbage,IBAJAY,pieces or units,50,1,g,0,1,1,1,,627.5,14,0,0,1,1,0,3,627.5,.0796812749003984,,0,0
AKLAN,camote,IBAJAY,binilog,15,1,g,0,1,1,1,,150,9,1,1,1,1,0,3,150,.1,,.1111111111111111,0
AKLAN,camote tops,IBAJAY,bugkos,20,1,g,1,1,1,1,,162.5,4,0,0,1,1,0,3,162.5,.1230769230769231,,0,0
AKLAN,carrot,IBAJAY,pieces or units,39,1,g,0,1,1,1,,145,15,1,1,1,1,0,3,145,.2689655172413793,,.0666666666666667,0
AKLAN,chicken,IBAJAY,pieces or units,200,1,g,0,2,2,1,,172.5,4,0,0,1,2,0,3,172.5,1.159420289855073,,0,0
AKLAN,chicken,IBAJAY,pieces or units,250,2,g,0,2,2,1,,650,3,2,2,2,2,0,3,650,.3846153846153846,,.6666666666666666,0
AKLAN,chicken,IBAJAY,whole (chicken),250,1,g,0,1,1,1,,1445,7,0,0,1,1,0,3,1445,.1730103806228374,,0,0
AKLAN,"crackers, cookies, buiscuits, chips/curls",IBAJAY,pieces or units,37.5,1,g,0,2,2,1,,27,8,0,0,1,2,0,3,27,1.388888888888889,,0,0
AKLAN,"crackers, cookies, buiscuits, chips/curls",IBAJAY,pieces or units,94.5,2,g,0,2,2,1,,74,6,0,0,2,2,0,3,74,1.277027027027027,,0,0
AKLAN,"crackers, cookies, buiscuits, chips/curls",IBAJAY,putos,65,,g,0,,1,1,,300,2,0,0,1,,,2,300,.2166666666666667,municipality_median,0,1
AKLAN,fresh fish,IBAJAY,pieces or units,100,1,g,0,1,1,1,,325,14,4,4,1,1,0,3,325,.3076923076923077,,.2857142857142857,0
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",IBAJAY,pieces or units,105,1,mL,0,1,1,1,,110,2,0,0,1,1,0,3,110,.9545454545454546,,0,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",IBAJAY,putos,50,1,mL,0,1,1,1,,600,3,3,3,1,1,0,3,600,.0833333333333333,,1,0
