pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,corrected_unit,cf_blind,fallback_level,n_g_used,d_thin,d_unconvertible
AKLAN,NEW WASHINGTON,chicken,whole (chicken),g,1540,cell pooled across sizes,6,0,0
AKLAN,NEW WASHINGTON,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,50,cell pooled across sizes,16,0,0
AKLAN,NEW WASHINGTON,"crackers, cookies, buiscuits, chips/curls",putos,g,270,province x item x unit,93,0,0
AKLAN,NEW WASHINGTON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,110,province x item x unit,26,0,0
AKLAN,NEW WASHINGTON,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,province x item x unit,76,0,0
AKLAN,NEW WASHINGTON,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,7,0,0
AKLAN,NEW WASHINGTON,loaf bread,large packs,g,640,cell pooled across sizes,4,0,0
AKLAN,NEW WASHINGTON,loaf bread,medium packs,g,465,cell pooled across sizes,4,0,0
AKLAN,NEW WASHINGTON,loaf bread,small packs,g,360,province x item x unit,33,0,0
AKLAN,NEW WASHINGTON,"prawns, lobster, shrimp",tumpok,g,342.5,cell pooled across sizes,4,0,0
AKLAN,NEW WASHINGTON,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,g,65,province x item x unit,28,0,0
AKLAN,NEW WASHINGTON,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,500,cell pooled across sizes,3,0,0
AKLAN,TANGALAN,cabbage,pieces or units,g,732.5,cell pooled across sizes,20,0,0
AKLAN,TANGALAN,camote tops,bundle,g,180,cell pooled across sizes,3,0,0
AKLAN,TANGALAN,carrot,pieces or units,g,132.5,cell pooled across sizes,16,0,0
AKLAN,TANGALAN,chicken,whole (chicken),g,1167.5,cell pooled across sizes,10,0,0
AKLAN,TANGALAN,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,40,cell pooled across sizes,10,0,0
AKLAN,TANGALAN,"crackers, cookies, buiscuits, chips/curls",putos,g,38,cell pooled across sizes,19,0,0
AKLAN,TANGALAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,110,cell pooled across sizes,6,0,0
AKLAN,TANGALAN,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,9,0,0
AKLAN,TANGALAN,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,11,0,0
AKLAN,TANGALAN,loaf bread,large packs,g,682.5,cell pooled across sizes,4,0,0
AKLAN,TANGALAN,loaf bread,medium packs,g,600,cell pooled across sizes,5,0,0
AKLAN,TANGALAN,loaf bread,small packs,g,392.5,cell pooled across sizes,8,0,0
AKLAN,TANGALAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,g,70,cell pooled across sizes,6,0,0
AKLAN,TANGALAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,450,cell pooled across sizes,11,0,0
ANTIQUE,BARBAZA,cabbage,pieces or units,g,605,cell pooled across sizes,6,0,0
ANTIQUE,BARBAZA,camote,bilog,g,150,cell pooled across sizes,12,0,0
ANTIQUE,BARBAZA,camote tops,bundle,g,302.5,cell pooled across sizes,4,0,0
ANTIQUE,BARBAZA,carrot,pieces or units,g,180,cell pooled across sizes,15,0,0
ANTIQUE,BARBAZA,chicken,whole (chicken),g,1305,cell pooled across sizes,3,0,0
ANTIQUE,BARBAZA,"crackers, cookies, buiscuits, chips/curls",pieces or units,g,32,cell pooled across sizes,7,0,0
ANTIQUE,BARBAZA,"crackers, cookies, buiscuits, chips/curls",putos,g,55,cell pooled across sizes,14,0,0
ANTIQUE,BARBAZA,fresh fish,pieces or units,g,675,cell pooled across sizes,6,0,0
ANTIQUE,BARBAZA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,110,cell pooled across sizes,5,0,0
ANTIQUE,BARBAZA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,100,cell pooled across sizes,5,0,0
ANTIQUE,BARBAZA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,4,0,0
ANTIQUE,BARBAZA,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,7,0,0
ANTIQUE,BARBAZA,loaf bread,large packs,g,680,cell pooled across sizes,5,0,0
ANTIQUE,BARBAZA,loaf bread,small packs,g,400,cell pooled across sizes,3,0,0
ANTIQUE,BARBAZA,loaf bread,tama-tama nga putos,g,475,cell pooled across sizes,6,0,0
ANTIQUE,BARBAZA,mango,pieces or units,g,240,cell pooled across sizes,13,0,0
ANTIQUE,BARBAZA,"preserved or processed meat (tocino, tapa, longaniza, etc)",bilog,g,250,province x item x unit,25,0,0
ANTIQUE,BARBAZA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,g,315,cell pooled across sizes,12,0,0
ANTIQUE,BELISON,cabbage,pieces or units,g,615,cell pooled across sizes,13,0,0
ANTIQUE,BELISON,camote,binilog,g,105,cell pooled across sizes,17,0,0
ANTIQUE,BELISON,camote tops,bugkos,g,265,cell pooled across sizes,6,0,0
ANTIQUE,BELISON,carrot,pieces or units,g,125,cell pooled across sizes,15,0,0
ANTIQUE,BELISON,chicken,pieces or units,g,522.5,cell pooled across sizes,4,0,0
