statistic,grouping,level,value
weight_corrected_mean,item | unit,cabbage | g,649.8760623229462
weight_corrected_median,item | unit,cabbage | g,632.5
weight_corrected_sd,item | unit,cabbage | g,287.17082447829296
weight_corrected_min,item | unit,cabbage | g,65.0
weight_corrected_max,item | unit,cabbage | g,1800.0
weight_corrected_n,item | unit,camote | g,591.0
weight_corrected_mean,item | unit,camote | g,190.62436548223351
weight_corrected_median,item | unit,camote | g,145.0
weight_corrected_sd,item | unit,camote | g,183.9642218768116
weight_corrected_min,item | unit,camote | g,30.0
weight_corrected_max,item | unit,camote | g,1540.0
weight_corrected_n,item | unit,camote tops | g,558.0
weight_corrected_mean,item | unit,camote tops | g,302.5698924731183
weight_corrected_median,item | unit,camote tops | g,220.0
weight_corrected_sd,item | unit,camote tops | g,250.45206084820364
weight_corrected_min,item | unit,camote tops | g,58.0
weight_corrected_max,item | unit,camote tops | g,1885.0
weight_corrected_n,item | unit,carrot | g,1193.0
weight_corrected_mean,item | unit,carrot | g,152.73595976529757
weight_corrected_median,item | unit,carrot | g,140.0
weight_corrected_sd,item | unit,carrot | g,70.37328459009413
weight_corrected_min,item | unit,carrot | g,25.0
weight_corrected_max,item | unit,carrot | g,630.0
weight_corrected_n,item | unit,chicken | g,844.0
weight_corrected_mean,item | unit,chicken | g,1013.7464454976304
weight_corrected_median,item | unit,chicken | g,1065.0
weight_corrected_sd,item | unit,chicken | g,393.3629345366732
weight_corrected_min,item | unit,chicken | g,15.0
weight_corrected_max,item | unit,chicken | g,2635.0
weight_corrected_n,item | unit,"crackers, cookies, buiscuits, chips/curls | g",1085.0
weight_corrected_mean,item | unit,"crackers, cookies, buiscuits, chips/curls | g",152.2884792626728
weight_corrected_median,item | unit,"crackers, cookies, buiscuits, chips/curls | g",60.0
weight_corrected_sd,item | unit,"crackers, cookies, buiscuits, chips/curls | g",246.86743067192916
weight_corrected_min,item | unit,"crackers, cookies, buiscuits, chips/curls | g",10.0
weight_corrected_max,item | unit,"crackers, cookies, buiscuits, chips/curls | g",4000.0
weight_corrected_n,item | unit,"drinks at restaurant, hotel, cafe, or kiosk | g",25.0
weight_corrected_mean,item | unit,"drinks at restaurant, hotel, cafe, or kiosk | g",479.4
weight_corrected_median,item | unit,"drinks at restaurant, hotel, cafe, or kiosk | g",450.0
weight_corrected_sd,item | unit,"drinks at restaurant, hotel, cafe, or kiosk | g",153.25169928367296
weight_corrected_min,item | unit,"drinks at restaurant, hotel, cafe, or kiosk | g",240.0
weight_corrected_max,item | unit,"drinks at restaurant, hotel, cafe, or kiosk | g",810.0
weight_corrected_n,item | unit,"drinks at restaurant, hotel, cafe, or kiosk | mL",164.0
weight_corrected_mean,item | unit,"drinks at restaurant, hotel, cafe, or kiosk | mL",386.0792682926829
weight_corrected_median,item | unit,"drinks at restaurant, hotel, cafe, or kiosk | mL",355.0
weight_corrected_sd,item | unit,"drinks at restaurant, hotel, cafe, or kiosk | mL",238.6953286841987
weight_corrected_min,item | unit,"drinks at restaurant, hotel, cafe, or kiosk | mL",150.0
weight_corrected_max,item | unit,"drinks at restaurant, hotel, cafe, or kiosk | mL",1000.0
weight_corrected_n,item | unit,fresh fish | g,755.0
weight_corrected_mean,item | unit,fresh fish | g,475.4476821192053
weight_corrected_median,item | unit,fresh fish | g,410.0
weight_corrected_sd,item | unit,fresh fish | g,405.69645177891266
weight_corrected_min,item | unit,fresh fish | g,45.0
weight_corrected_max,item | unit,fresh fish | g,4850.0
weight_corrected_n,item | unit,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) | g",324.0
weight_corrected_mean,item | unit,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) | g",134.96604938271605
weight_corrected_median,item | unit,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) | g",75.0
weight_corrected_sd,item | unit,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) | g",165.85902315536916
weight_corrected_min,item | unit,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) | g",25.0
weight_corrected_max,item | unit,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) | g",1025.0
weight_corrected_n,item | unit,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) | mL",553.0
weight_corrected_mean,item | unit,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) | mL",190.4267631103074
weight_corrected_median,item | unit,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) | mL",100.0
weight_corrected_sd,item | unit,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) | mL",242.99936364466822
weight_corrected_min,item | unit,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) | mL",20.0
weight_corrected_max,item | unit,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo) | mL",1700.0
weight_corrected_n,item | unit,"liquor (e.g, whisky, coconut wine) | mL",1122.0
weight_corrected_mean,item | unit,"liquor (e.g, whisky, coconut wine) | mL",570.0311942959001
weight_corrected_median,item | unit,"liquor (e.g, whisky, coconut wine) | mL",375.0
weight_corrected_sd,item | unit,"liquor (e.g, whisky, coconut wine) | mL",221.23451357867737
weight_corrected_min,item | unit,"liquor (e.g, whisky, coconut wine) | mL",120.0
weight_corrected_max,item | unit,"liquor (e.g, whisky, coconut wine) | mL",1495.0
weight_corrected_n,item | unit,loaf bread | g,1049.0
weight_corrected_mean,item | unit,loaf bread | g,503.93231649189704
weight_corrected_median,item | unit,loaf bread | g,460.0
weight_corrected_sd,item | unit,loaf bread | g,134.19253924918485
weight_corrected_min,item | unit,loaf bread | g,60.0
weight_corrected_max,item | unit,loaf bread | g,1100.0
weight_corrected_n,item | unit,mango | g,544.0
weight_corrected_mean,item | unit,mango | g,239.7003676470588
weight_corrected_median,item | unit,mango | g,230.0
weight_corrected_sd,item | unit,mango | g,83.6711769740224
weight_corrected_min,item | unit,mango | g,105.0
weight_corrected_max,item | unit,mango | g,1290.0
weight_corrected_n,item | unit,"mineral or spring water, all drinking water sold in containers | mL",5.0
weight_corrected_mean,item | unit,"mineral or spring water, all drinking water sold in containers | mL",1000.0
weight_corrected_median,item | unit,"mineral or spring water, all drinking water sold in containers | mL",1000.0
weight_corrected_sd,item | unit,"mineral or spring water, all drinking water sold in containers | mL",0.0
weight_corrected_min,item | unit,"mineral or spring water, all drinking water sold in containers | mL",1000.0
weight_corrected_max,item | unit,"mineral or spring water, all drinking water sold in containers | mL",1000.0
weight_corrected_n,item | unit,pork | g,25.0
weight_corrected_mean,item | unit,pork | g,372.56
weight_corrected_median,item | unit,pork | g,260.0
weight_corrected_sd,item | unit,pork | g,392.84921619708837
weight_corrected_min,item | unit,pork | g,25.0
weight_corrected_max,item | unit,pork | g,1620.0
weight_corrected_n,item | unit,"prawns, lobster, shrimp | g",159.0
weight_corrected_mean,item | unit,"prawns, lobster, shrimp | g",296.47798742138366
weight_corrected_median,item | unit,"prawns, lobster, shrimp | g",255.0
