statistic,grouping,level,value
n_items_by_municipality,prov_mun,AKLAN | ALTAVAS,12.0
n_items_by_municipality,prov_mun,AKLAN | BANGA,10.0
n_items_by_municipality,prov_mun,AKLAN | BATAN,12.0
n_items_by_municipality,prov_mun,AKLAN | BURUANGA,11.0
n_items_by_municipality,prov_mun,AKLAN | IBAJAY,13.0
n_items_by_municipality,prov_mun,AKLAN | LIBACAO,10.0
n_items_by_municipality,prov_mun,AKLAN | MADALAG,12.0
n_items_by_municipality,prov_mun,AKLAN | MAKATO,12.0
n_items_by_municipality,prov_mun,AKLAN | MALAY,12.0
n_items_by_municipality,prov_mun,AKLAN | MALINAO,10.0
n_items_by_municipality,prov_mun,AKLAN | NABAS,8.0
n_items_by_municipality,prov_mun,AKLAN | NEW WASHINGTON,10.0
n_items_by_municipality,prov_mun,AKLAN | TANGALAN,9.0
n_items_by_municipality,prov_mun,ANTIQUE | BARBAZA,12.0
n_items_by_municipality,prov_mun,ANTIQUE | BELISON,11.0
n_items_by_municipality,prov_mun,ANTIQUE | BUGASONG,13.0
n_items_by_municipality,prov_mun,ANTIQUE | CULASI,13.0
n_items_by_municipality,prov_mun,ANTIQUE | HAMTIC,15.0
n_items_by_municipality,prov_mun,ANTIQUE | LAUA-AN,11.0
n_items_by_municipality,prov_mun,ANTIQUE | LIBERTAD,11.0
n_items_by_municipality,prov_mun,ANTIQUE | PANDAN,9.0
n_items_by_municipality,prov_mun,ANTIQUE | PATNONGON,11.0
n_items_by_municipality,prov_mun,ANTIQUE | SAN REMIGIO,13.0
n_items_by_municipality,prov_mun,ANTIQUE | SEBASTE,11.0
n_items_by_municipality,prov_mun,ANTIQUE | SIBALOM,14.0
n_items_by_municipality,prov_mun,ANTIQUE | TIBIAO,10.0
n_items_by_municipality,prov_mun,ANTIQUE | TOBIAS FORNIER,14.0
n_items_by_municipality,prov_mun,ANTIQUE | VALDERRAMA,10.0
n_items_by_municipality,prov_mun,CAPIZ | CUARTERO,12.0
n_items_by_municipality,prov_mun,CAPIZ | DAO,13.0
n_items_by_municipality,prov_mun,CAPIZ | DUMALAG,15.0
n_items_by_municipality,prov_mun,CAPIZ | DUMARAO,11.0
n_items_by_municipality,prov_mun,CAPIZ | IVISAN,13.0
n_items_by_municipality,prov_mun,CAPIZ | JAMINDAN,14.0
n_items_by_municipality,prov_mun,CAPIZ | MA-AYON,14.0
n_items_by_municipality,prov_mun,CAPIZ | MAMBUSAO,10.0
n_items_by_municipality,prov_mun,CAPIZ | PANAY,16.0
n_items_by_municipality,prov_mun,CAPIZ | PANITAN,13.0
n_items_by_municipality,prov_mun,CAPIZ | PILAR,13.0
n_items_by_municipality,prov_mun,CAPIZ | PONTEVEDRA,11.0
n_items_by_municipality,prov_mun,CAPIZ | PRESIDENT ROXAS,13.0
n_items_by_municipality,prov_mun,CAPIZ | SAPI-AN,15.0
n_items_by_municipality,prov_mun,CAPIZ | SIGMA,12.0
n_items_by_municipality,prov_mun,CAPIZ | TAPAZ,12.0
n_items_by_municipality,prov_mun,ILOILO | AJUY,13.0
n_items_by_municipality,prov_mun,ILOILO | ALIMODIAN,14.0
n_items_by_municipality,prov_mun,ILOILO | ANILAO,10.0
n_items_by_municipality,prov_mun,ILOILO | BADIANGAN,11.0
n_items_by_municipality,prov_mun,ILOILO | BALASAN,14.0
n_items_by_municipality,prov_mun,ILOILO | BANATE,12.0
n_items_by_municipality,prov_mun,ILOILO | BAROTAC NUEVO,14.0
n_items_by_municipality,prov_mun,ILOILO | BAROTAC VIEJO,14.0
n_items_by_municipality,prov_mun,ILOILO | BATAD,15.0
n_items_by_municipality,prov_mun,ILOILO | BINGAWAN,12.0
n_items_by_municipality,prov_mun,ILOILO | CABATUAN,13.0
n_items_by_municipality,prov_mun,ILOILO | CALINOG,11.0
n_items_by_municipality,prov_mun,ILOILO | CARLES,12.0
n_items_by_municipality,prov_mun,ILOILO | CONCEPCION,12.0
n_items_by_municipality,prov_mun,ILOILO | DINGLE,11.0
n_items_by_municipality,prov_mun,ILOILO | DUEĂ‘AS,14.0
n_items_by_municipality,prov_mun,ILOILO | DUMANGAS,8.0
n_items_by_municipality,prov_mun,ILOILO | ESTANCIA,11.0
n_items_by_municipality,prov_mun,ILOILO | GUIMBAL,9.0
n_items_by_municipality,prov_mun,ILOILO | IGBARAS,15.0
n_items_by_municipality,prov_mun,ILOILO | JANIUAY,14.0
n_items_by_municipality,prov_mun,ILOILO | LAMBUNAO,12.0
n_items_by_municipality,prov_mun,ILOILO | LEGANES,13.0
n_items_by_municipality,prov_mun,ILOILO | LEMERY,13.0
n_items_by_municipality,prov_mun,ILOILO | LEON,10.0
n_items_by_municipality,prov_mun,ILOILO | MAASIN,13.0
n_items_by_municipality,prov_mun,ILOILO | MIAGAO,12.0
n_items_by_municipality,prov_mun,ILOILO | MINA,14.0
n_items_by_municipality,prov_mun,ILOILO | NEW LUCENA,14.0
n_items_by_municipality,prov_mun,ILOILO | OTON,17.0
n_items_by_municipality,prov_mun,ILOILO | POTOTAN,13.0
n_items_by_municipality,prov_mun,ILOILO | SAN DIONISIO,13.0
n_items_by_municipality,prov_mun,ILOILO | SAN ENRIQUE,13.0
n_items_by_municipality,prov_mun,ILOILO | SAN JOAQUIN,14.0
n_items_by_municipality,prov_mun,ILOILO | SAN MIGUEL,10.0
n_items_by_municipality,prov_mun,ILOILO | SAN RAFAEL,11.0
n_items_by_municipality,prov_mun,ILOILO | SANTA BARBARA,11.0
n_items_by_municipality,prov_mun,ILOILO | SARA,14.0
n_items_by_municipality,prov_mun,ILOILO | TIGBAUAN,14.0
n_items_by_municipality,prov_mun,ILOILO | TUBUNGAN,13.0
n_items_by_municipality,prov_mun,ILOILO | ZARRAGA,11.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | BINALBAGAN,7.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | CALATRAVA,10.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | CANDONI,11.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | CAUAYAN,12.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | ENRIQUE B. MAGALONA (SARAVIA),10.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | HINIGARAN,13.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | HINOBA-AN (ASIA),9.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | ILOG,8.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | ISABELA,11.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | LA CASTELLANA,10.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | MANAPLA,11.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | MOISES PADILLA (MAGALLON),10.0
