id,pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,weight,unit,w1,w3,ratio,review_step1,cell_med,cell_n
7789.0,ILOILO,LEMERY,camote tops,bundle,0.775,2,77.0,775.0,10.064935064935066,1,290.0,72.0
4456.0,CAPIZ,PANITAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,0.473,3,47.0,473.0,10.063829787234043,0,85.0,232.0
6111.0,ILOILO,CABATUAN,camote tops,bundle,0.815,2,81.0,815.0,10.061728395061728,1,290.0,72.0
807.0,AKLAN,MAKATO,camote tops,bundle,0.835,2,83.0,835.0,10.060240963855422,1,290.0,72.0
9603.0,ILOILO,SANTA BARBARA,fresh fish,pieces or units,0.895,2,89.0,895.0,10.0561797752809,1,375.0,590.0
2478.0,ANTIQUE,LIBERTAD,fresh fish,pieces or units,0.905,2,90.0,905.0,10.055555555555555,1,375.0,590.0
600.0,AKLAN,LIBACAO,camote tops,bundle,0.945,2,94.0,945.0,10.053191489361701,1,290.0,72.0
2480.0,ANTIQUE,LIBERTAD,fresh fish,pieces or units,0.955,2,95.0,955.0,10.052631578947368,1,375.0,590.0
9246.0,ILOILO,SAN JOAQUIN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pack,1.015,1,101.0,1015.0,10.049504950495049,1,250.0,76.0
6225.0,ILOILO,CABATUAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pack,1.015,1,101.0,1015.0,10.049504950495049,1,250.0,76.0
3575.0,CAPIZ,CUARTERO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",tupperware,1.025,1,102.0,1025.0,10.049019607843137,1,700.0,3.0
6112.0,ILOILO,CABATUAN,camote tops,bundle,1.025,1,102.0,1025.0,10.049019607843137,1,290.0,72.0
11267.0,NEGROS OCCIDENTAL,SAN ENRIQUE,camote tops,bugkos,1.055,1,105.0,1055.0,10.047619047619047,0,195.0,408.0
3044.0,ANTIQUE,SIBALOM,fresh fish,pieces or units,1.165,1,116.0,1165.0,10.043103448275861,1,375.0,590.0
9285.0,ILOILO,SAN MIGUEL,camote tops,bugkos,1.175,1,117.0,1175.0,10.042735042735043,0,195.0,408.0
91.0,AKLAN,BANGA,camote tops,bundle,1.185,1,118.0,1185.0,10.042372881355933,0,290.0,72.0
8797.0,ILOILO,POTOTAN,fresh fish,pieces or units,1.265,1,126.0,1265.0,10.03968253968254,0,375.0,590.0
11275.0,NEGROS OCCIDENTAL,SAN ENRIQUE,camote tops,bugkos,1.405,1,140.0,1405.0,10.035714285714286,0,195.0,408.0
9926.0,ILOILO,TIGBAUAN,chicken,pieces or units,1.415,1,141.0,1415.0,10.035460992907801,0,315.0,91.0
4088.0,CAPIZ,MA-AYON,pork,1 order,1.505,1,150.0,1505.0,10.033333333333333,1,,
4032.0,CAPIZ,MA-AYON,chicken,pack,1.765,1,176.0,1765.0,10.028409090909092,1,1265.0,3.0
